frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
36,1117120,12096,309184,0,3392,5376,233728,69312,484032,444928,672192,704,1088,228800,0,1216,3136,131328,18688,896,0,0,19328,0,172,549,2724353048,2724353048,666816,0
37,1117632,12096,311680,0,3328,5440,235584,70016,479488,440448,677184,832,1024,230592,0,1344,3008,132864,18560,1088,0,0,20224,0,172,549,2724353048,2724353048,671744,0
38,1116992,11520,307456,0,3328,5568,235712,71232,482176,443264,673728,640,1152,230528,0,1344,3200,133568,18496,832,0,0,19968,0,172,549,2724353048,2724353048,668160,0
39,1117248,11904,309376,0,3392,5376,236096,71360,479744,440512,676736,704,1088,231296,0,1280,3136,134272,18368,640,0,0,20160,0,172,549,2724353048,2724353048,671360,0
40,1117312,12160,310208,0,3136,5376,234560,70720,481152,441600,675712,640,1024,229504,0,1408,2944,132672,18240,1088,0,0,20416,0,172,549,2724353048,2724353048,670336,0
41,1117312,12160,309952,0,3392,5504,262400,70656,453248,414528,702784,704,960,257280,0,1344,3200,160000,18240,960,0,0,20544,0,172,549,2724353048,2724353048,697280,0
42,1117440,12160,309248,0,3520,5056,243584,71104,472768,433344,684096,704,960,238464,0,1152,3136,141632,18688,896,0,0,20864,0,172,549,2724353048,2724353048,679040,0
43,1117056,11840,312192,0,3520,5248,234112,70400,479744,440384,676672,640,1024,228800,0,1216,3136,131264,18816,1088,0,0,20160,0,172,550,2724353048,2724353048,671424,0
44,1117504,11712,312064,0,3200,5312,235008,70208,480000,440576,676928,768,1152,229760,0,1088,3008,132480,18688,960,0,0,19904,0,171,545,2724353048,2724353048,671616,0
45,1117120,11712,309696,0,3392,5248,234304,71936,480832,441344,675776,640,1024,229120,0,1408,3136,131840,18688,1024,0,0,20160,0,171,545,2724353048,2724353048,670528,0
46,1116672,11520,308096,0,3456,5248,234176,71296,482880,443648,673024,640,1024,229184,0,1152,3072,132480,18752,960,0,0,20544,0,171,545,2724353048,2724353048,667776,0
47,1677568,19456,311872,0,3264,38272,807232,139072,358400,310912,1366656,640,1344,801728,0,1280,3136,128064,26816,1024,128,56576,22464,0,200,641,810261126,810261126,1328384,0
48,1117184,19392,314752,0,136448,16320,252224,134784,243264,194752,922432,640,1344,246720,0,1280,3136,133312,24512,896,64,56960,22336,0,200,641,810261126,810261126,906112,0
49,1116928,19584,309824,0,3392,16064,253312,134976,379776,333248,783680,704,1216,247936,0,1344,3200,134080,24192,1024,64,56896,22208,0,202,648,810261126,810261126,767616,0
50,1117568,19200,311488,0,3264,16512,253568,135232,378304,329792,787776,640,1280,248064,0,1344,3072,133888,24192,1024,64,56704,22400,0,202,648,810261126,810261126,771264,0
51,1117312,18880,312832,0,3392,16832,256128,135616,373632,326912,790400,768,1216,250816,0,1152,3072,136704,24832,1152,128,56896,22592,0,202,648,810261126,810261126,773568,0
52,1117120,19200,311936,0,3456,16384,252736,135552,377856,331264,785856,704,1216,247488,0,1408,3200,134400,24192,832,64,57280,21888,0,202,644,810261126,810261126,769472,0
53,1117312,18816,310784,0,3392,16320,254080,136064,377856,330816,786496,576,1280,248704,0,1472,3200,135936,23872,1088,64,57088,22272,0,202,644,810261126,810261126,770176,0
54,1117376,19264,310144,0,3392,16448,253248,135360,379520,332672,784704,768,1472,247744,0,1280,3200,134592,24320,960,128,56448,22528,0,202,643,810261126,810261126,768256,0
55,1117248,19264,311488,0,3456,16448,251776,136000,378816,333056,784192,704,1280,246336,0,1344,3200,132992,24256,960,128,56896,22848,0,202,642,810261126,810261126,767744,0
56,1117184,19584,310784,0,3264,16704,255680,135616,375552,329472,787712,640,1280,250112,0,1344,2944,136512,24576,832,64,56576,22400,0,202,642,810261126,810261126,771008,0
57,1117760,19200,310016,0,3392,16320,255488,135488,377856,331712,786048,704,1344,250048,0,1216,3264,135680,24384,1024,64,56704,22784,0,202,642,810261126,810261126,769728,0
58,1116864,19008,312384,0,3328,16320,253696,134912,377216,331392,785472,640,1344,248256,0,1280,3200,135744,23808,896,128,56384,22592,0,202,642,810261126,810261126,769152,0
59,1117248,18816,311616,0,3392,16256,256128,136000,375040,329792,787456,704,1280,250752,0,1152,3264,137280,23872,960,64,56960,22592,0,202,641,810261126,810261126,771200,0
60,1117120,19072,310656,0,3264,16640,256832,135104,375552,329024,788096,640,1216,251520,0,1408,3200,138176,24512,1088,64,56832,22016,0,202,641,810261126,810261126,771456,0
61,1117248,19008,311360,0,3328,16576,260480,136192,370304,323776,793472,640,1280,255168,0,1280,3328,141248,24256,960,64,56384,22848,0,202,640,810261126,810261126,776896,0
62,1117376,19008,363648,0,3456,38080,253184,137344,302656,257536,859840,640,1344,247680,0,1088,3328,140608,23936,1152,64,57216,22976,0,182,582,810261126,810261126,821760,0
63,1117184,19456,367936,0,3392,16576,245632,135552,328640,283328,833856,768,1280,240256,0,1152,3328,139328,24960,896,128,56064,22528,0,166,530,810261126,810261126,817280,0
64,1117120,19264,364096,0,3328,16512,242240,138240,333440,287552,829568,640,1280,236864,0,1088,3456,136128,24192,896,64,57280,23424,0,152,494,810261126,810261126,813056,0
65,1117248,19328,361472,0,3264,16512,244864,137408,334400,289280,827968,704,1280,239424,0,1216,3200,139904,24256,1024,128,57216,22976,0,130,425,810261126,810261126,811456,0
66,1117312,18432,359744,0,3328,16576,241408,136320,341504,296128,821184,640,1344,235968,0,1088,3456,136064,24320,1216,128,56448,23168,0,111,368,810261126,810261126,804608,0
67,1117312,18752,360960,0,3392,16512,243584,136896,337216,292288,825024,768,1344,237888,0,1216,3264,138048,24064,896,64,56768,22848,0,108,362,810261126,810261126,808512,0
68,1117120,18816,361792,0,3392,16576,241408,136896,338240,293184,823936,704,1344,236096,0,1408,3392,136384,23872,768,128,57280,22976,0,98,323,810261126,810261126,807360,0
69,1117312,18752,367808,0,3328,16320,239232,136256,335616,290304,827008,704,1280,233856,0,1216,3264,133504,24384,832,128,56384,23104,0,87,287,810261126,810261126,810688,0
70,1117184,18752,363200,0,78592,16832,244032,136064,259712,214464,902720,768,1344,238656,0,1344,3392,138240,24448,1024,64,56832,22656,0,80,265,810261126,810261126,885888,0
71,1117184,18496,362560,0,3520,16512,244800,136064,335232,290112,827072,640,1280,239296,0,1088,3264,139584,24064,896,128,56576,22592,0,80,264,810261126,810261126,810560,0
72,1117184,19136,362560,0,3456,16448,243712,137408,334464,288704,828480,768,1344,238400,0,1216,3328,137344,24064,1088,128,57024,22848,0,80,264,810261126,810261126,812032,0
73,1117440,18880,367040,0,3520,16064,241856,136000,334080,287808,829632,704,1152,236736,0,1216,3392,136896,23936,1024,64,56576,22912,0,79,261,810261126,810261126,813568,0
74,1117440,18496,366976,0,3520,16384,243648,135552,332864,286464,830976,704,1280,238400,0,1152,3584,137728,24448,1088,64,56384,22400,0,79,261,810261126,810261126,814592,0
75,1116992,18752,364544,0,3648,16320,433536,150080,130112,84992,1032000,640,1280,428288,0,1152,3264,305600,32256,1024,64,56448,36992,0,83,279,810261126,209429905,1015680,0
76,1117248,18752,366592,0,3584,16640,250560,148288,312832,267776,849472,704,1280,245248,0,1280,3264,142208,24448,960,64,56384,34304,0,80,270,209429905,209429905,832832,0
77,1677696,614272,364160,0,3648,37824,246208,102400,309184,251712,1425984,960,1536,240704,0,1152,3200,140992,24256,1024,64,8320,34368,0,163,462,209429905,209429905,1388160,0
78,2797248,585152,368192,0,3840,16640,1253440,190784,379200,333952,2463296,704,1280,1248192,0,1152,3392,355712,29376,1152,192,92416,36992,0,163,460,3951199918,3487435620,2446656,0
79,1117184,70080,364608,0,3776,16320,263744,190912,207744,163072,954112,640,1280,258304,0,1216,3520,140544,27392,1088,64,91264,39424,0,163,465,3487435620,3409777762,937792,0
80,1117440,71168,363392,0,3520,16256,253568,188544,220992,174848,942592,768,1408,248000,0,1344,3264,141952,27328,1024,128,91712,36032,0,164,496,3409777762,3409777762,926336,0
81,1117184,69760,366016,0,3776,16320,294208,190208,176896,131712,985472,704,1280,288896,0,1216,3328,169664,27200,1024,192,91328,38336,0,160,488,3409777762,1584434568,969152,0
82,1117376,70144,367424,0,3584,16256,268928,192384,198656,153472,963904,640,1152,263680,0,1216,3200,138624,27712,832,64,90880,41472,0,159,493,1584434568,3641617726,947648,0
83,1117504,70272,364800,0,3712,16320,253760,191232,217408,171136,946368,640,1408,248192,0,1344,3200,140928,27264,768,128,90432,40128,0,127,411,3641617726,3641617726,930048,0
84,1117056,69056,367680,0,3520,16640,250880,191104,218176,172864,944192,704,1344,245568,0,1152,3200,139136,27776,960,192,91904,37632,0,109,366,3641617726,3641617726,927552,0
85,1117376,70208,365632,0,3648,16192,251008,190208,220480,174144,943232,704,1344,245568,0,1344,3456,139392,27456,1024,128,90176,38144,0,110,373,3641617726,3641617726,927040,0
86,1116992,69568,366720,0,3648,16768,252544,185536,222208,176832,940160,576,1344,247104,0,1152,3456,141696,27264,960,128,91648,31936,0,106,355,3641617726,3641617726,923392,0
87,1117440,68864,368384,0,3712,16320,250752,181952,227456,182272,935168,768,1344,245184,0,1216,3392,142208,26560,960,128,91392,29632,0,99,335,3641617726,3641617726,918848,0
88,1117248,69184,366336,0,3648,16384,255808,173312,232576,186368,930880,640,1344,250304,0,1216,3520,147520,27072,1088,128,90112,22464,0,91,308,3641617726,3641617726,914496,0
89,1116928,69376,365952,0,3584,16704,250240,174784,236288,191488,925440,768,1344,244800,0,1216,3136,143936,26880,1024,64,91648,22080,0,84,282,3641617726,3641617726,908736,0
90,1117440,69440,364608,0,137024,16384,249536,174976,105472,59840,1057600,704,1344,244224,0,1280,3264,142272,26752,896,128,91584,22784,0,75,254,3641617726,3641617726,1041216,0
91,1117248,69312,364800,0,3584,37824,253184,174016,214528,169280,947968,640,1152,247936,0,1344,3264,146240,26944,960,128,91264,22592,0,84,284,3641617726,3641617726,910144,0
92,1117184,69760,362048,0,3712,16384,253952,175552,235776,190656,926528,704,1344,248640,0,1280,3264,146944,27392,960,128,91392,22400,0,86,288,3641617726,3641617726,910144,0
93,1117184,69760,364672,0,3712,16320,253184,172736,236800,190592,926592,640,1280,247680,0,1280,3328,144704,27776,1024,192,90880,22208,0,119,383,3641617726,3641617726,910272,0
94,1117248,70080,364224,0,3648,16448,248384,173952,240512,194880,922368,704,1280,243072,0,1344,3328,141504,27008,960,128,91008,22976,0,162,484,3641617726,3641617726,905920,0
95,1677248,627520,362880,0,3712,16448,253440,175104,238144,179776,1497472,768,1216,248128,0,1344,3520,144704,27776,1024,128,90048,22784,0,225,654,3641617726,3641617726,1481024,0
96,1677440,611968,362368,0,3520,16640,251264,174912,256768,211904,1465536,832,1280,245824,0,1408,3200,144576,27200,896,192,91072,22144,0,200,546,3641617726,3641617726,1448896,0
97,1117440,64064,367936,0,3648,16448,254848,174144,236352,191360,926080,704,1280,249408,0,1280,3392,147584,27328,1024,192,91712,22144,0,173,450,3641617726,3641617726,909632,0
98,1117248,64640,364608,0,3648,16320,258688,174080,235264,190144,927104,640,1344,253120,0,1216,3520,151424,27392,896,64,91072,23040,0,178,451,3641617726,3641617726,910784,0
99,1117120,64576,363968,0,6144,16896,253824,173824,237888,191808,925312,704,1344,248448,0,1280,3456,146496,26752,1024,128,91776,22720,0,178,443,3641617726,3641617726,908416,0
100,1117312,63936,365312,0,6400,16448,258176,173056,233984,188736,928576,704,1280,252672,0,1408,3392,150272,27328,1024,128,91328,22144,0,181,454,3641617726,3641617726,912128,0
101,1116928,64896,365952,0,6592,16512,260288,173568,229120,184256,932672,832,1280,254848,0,1280,3328,152704,27008,1024,128,91392,22464,0,179,447,3641617726,3641617726,916160,0
102,1117376,64256,364736,0,4864,16064,260032,172864,234560,188352,929024,832,1344,254592,0,1280,3200,152128,27456,896,128,90304,22912,0,181,456,3641617726,3641617726,912960,0
103,1117056,63808,363456,0,3392,16256,259648,172544,237952,193728,923328,768,1280,254144,0,1408,3392,150720,27264,832,192,90560,21952,0,177,439,3641617726,3641617726,907072,0
104,1117184,64384,365184,0,3456,16256,252608,173248,242048,195968,921216,704,1216,247424,0,1280,3264,145600,27072,832,128,90944,21824,0,179,445,3641617726,3641617726,904960,0
105,1117120,63872,368512,0,3328,37696,255360,172992,215360,169152,947968,896,1280,250112,0,1216,3392,148096,26816,1088,64,90944,22336,0,187,450,3641617726,3641617726,910272,0
106,1117056,64512,363840,0,3456,16320,255744,173696,239488,194368,922688,640,1216,250496,0,1280,3456,147520,27456,1024,128,91584,22656,0,184,448,3641617726,3641617726,906368,0
107,1677504,64640,365248,0,3456,16448,719296,165952,342464,296896,1380608,4608,1280,713920,0,1728,3584,435776,64000,1152,128,84224,22912,0,189,460,3855480542,3855480542,1364160,0
108,1117376,63552,366272,0,3648,16192,287360,165632,214720,168320,949056,4608,1344,281920,0,1600,3200,147328,55872,1152,64,84544,22208,0,189,462,3855480542,3855480542,932864,0
109,2237376,67712,364928,0,3584,16320,1079168,260864,444800,398656,1838720,4608,1344,1073728,0,1536,3392,148160,61952,960,256,172480,22720,0,186,459,1959563836,719741239,1822400,0
110,1677376,67520,367104,0,136384,16320,321856,257408,510784,464320,1213056,4800,1280,316544,0,1600,3392,166208,58624,960,256,172352,22336,0,186,458,2904517659,746161473,1196736,0
111,1117312,67840,365056,0,3456,16512,320448,255232,88768,43584,1073728,4672,1216,315072,0,1600,3264,164800,57472,1216,192,170880,22592,0,185,457,4134867387,2901609146,1057216,0
112,1117440,67520,366592,0,3520,16576,318144,257216,87872,43008,1074432,4736,1280,312832,0,1536,3456,164352,58688,960,384,172288,22720,0,182,452,28148850,1483458804,1057856,0
113,1117248,68480,366016,0,3520,16064,321664,255424,86080,40704,1076544,4800,1216,316224,0,1728,3520,166464,58752,1088,192,170880,22400,0,182,452,3645807202,1297622665,1060480,0
114,1117056,67904,365952,0,3520,16192,322176,257408,83904,38848,1078208,4608,1280,316800,0,1856,3328,167552,58560,1024,320,172736,22464,0,186,452,1338678644,2045072500,1062016,0
115,1117696,68160,365312,0,3520,16256,321024,256448,86976,41664,1076032,4608,1216,315456,0,1792,3456,164992,58752,1152,192,171072,23040,0,185,453,4188059477,1010919574,1059776,0
116,1116992,67776,366336,0,3456,16192,322240,256384,84608,39360,1077632,4480,1280,316864,0,1728,3456,168000,58432,960,320,171968,22272,0,187,463,589226134,568701083,1061440,0
117,1117632,67584,367424,0,3584,15936,325952,257856,79296,33472,1084160,4992,1344,320512,0,1664,3200,170304,59008,960,192,172416,22784,0,187,464,865009532,2000081586,1068224,0
118,1116736,68672,366144,0,3520,37888,327232,256896,56384,10752,1105984,4672,1280,321856,0,1408,3264,172160,59456,1024,192,171392,22720,0,186,467,1096092868,3979609152,1068096,0
