pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x02048910,12396,24798,0,12397,0,0,0,0,12401,0,0,0,0,0,0,0,0,0,0,0
0x020b6bec,106276,644410,-3868,220787,320934,80,0,0,106477,0,27886,169496,-1062,58034,84510,44,0,0,27970,0
0x02012fb4,9216,28618,0,9216,0,0,0,0,19402,0,1024,3152,0,1024,0,0,0,0,2128,0
0x020bcd08,14,29581,-42,-21,0,0,98,29546,0,0,2,3179,-6,-3,0,0,14,3174,0,0
0x02012d14,9216,27973,0,27973,0,0,0,0,0,0,1024,3137,0,3137,0,0,0,0,0,0
0x0201b9a4,9472,28776,0,28762,0,14,0,0,0,0,1024,3147,0,3140,0,7,0,0,0,0
0x02012fa8,9216,27679,0,9217,0,0,0,0,18462,0,1024,3073,0,1025,0,0,0,0,2048,0
0x0201b8fc,9216,27658,-87,18529,0,0,0,0,9216,0,1024,3074,-6,2056,0,0,0,0,1024,0
0x0201b9b0,9472,28416,0,28416,0,0,0,0,0,0,1024,3072,0,3072,0,0,0,0,0,0
0x020bef34,23957,329049,-11821,43632,256871,8685,0,0,31682,0,3559,61238,-2580,6544,49719,2211,0,0,5344,0
0x02048810,10354,20709,0,10355,0,0,0,0,10354,0,0,0,0,0,0,0,0,0,0,0
0x02048818,10354,20709,0,10355,0,0,0,0,10354,0,0,0,0,0,0,0,0,0,0,0
0x0204881e,10354,20708,10354,0,0,0,0,0,10354,0,0,0,0,0,0,0,0,0,0,0
0x01fffb78,62642,688765,281465,0,0,407300,0,0,0,0,16305,179403,67757,0,0,111646,0,0,0,0
0x020487d4,10165,20381,0,10166,0,0,0,0,10215,0,0,0,0,0,0,0,0,0,0,0
0x020487ea,10165,20380,10165,0,0,0,0,0,10215,0,0,0,0,0,0,0,0,0,0,0
0x020487e4,10165,20366,0,10166,0,0,0,0,10200,0,0,0,0,0,0,0,0,0,0,0
0x020487ec,10165,20344,0,20344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff4fc,757745,1379602,1379602,0,0,0,0,0,0,0,32795,58822,58822,0,0,0,0,0,0,0
0x02001484,557287,14485427,-2355010,411939,15763327,665171,0,0,0,0,30698,623581,-99839,17712,676025,29683,0,0,0,0
0x02012ee8,5875,24737,-105,13047,5915,0,0,0,5880,0,656,2782,-9,1479,656,0,0,0,656,0
0x020b5a84,5053,141180,-18687,4516,150191,5160,0,0,0,0,580,20352,-2565,742,21299,876,0,0,0,0
0x0206ae44,33098,1670878,-197868,33534,1680565,154647,0,0,0,0,6289,315653,-37662,6395,318806,28114,0,0,0,0
0x01ff90a0,52800,26779596,52800,0,0,0,369600,26357196,0,0,1980,1004072,1980,0,0,0,13860,988232,0,0
0x01ff8338,1109303,2766908,1109305,1657603,0,0,0,0,0,0,89967,226997,89969,137028,0,0,0,0,0,0
0x0201b8d8,9216,18517,-32,18549,0,0,0,0,0,0,1024,2065,-10,2075,0,0,0,0,0,0
0x0201b8bc,9216,18482,-119,9335,9266,0,0,0,0,0,1024,2050,-15,1041,1024,0,0,0,0,0
0x0201b83c,9472,18961,0,9484,0,0,0,0,9477,0,1024,2050,0,1026,0,0,0,0,1024,0
0x0201b930,9472,18961,0,9484,0,0,0,0,9477,0,1024,2050,0,1026,0,0,0,0,1024,0
0x0201b8c4,9216,18447,-100,18547,0,0,0,0,0,0,1024,2051,-6,2057,0,0,0,0,0,0
0x0201b848,9472,18956,0,9484,0,0,0,0,9472,0,1024,2050,0,1026,0,0,0,0,1024,0
0x0201b87c,9216,18442,0,18442,0,0,0,0,0,0,1024,2050,0,2050,0,0,0,0,0,0
0x0201b888,9216,18442,0,18442,0,0,0,0,0,0,1024,2050,0,2050,0,0,0,0,0,0
0x0201b894,9217,18445,0,18445,0,0,0,0,0,0,1025,2053,0,2053,0,0,0,0,0,0
0x0201b8ac,9216,18442,0,18442,0,0,0,0,0,0,1024,2050,0,2050,0,0,0,0,0,0
0x0201b8e4,9216,18442,0,18442,0,0,0,0,0,0,1024,2050,0,2050,0,0,0,0,0,0
0x0201b8c8,9216,18437,0,9221,0,0,0,0,9216,0,1024,2049,0,1025,0,0,0,0,1024,0
