region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
360,822566,3361476,4.087,0,1027677,528482,911070,601572,102345,74700,17698,0,95652,1029957,0,0
1408,700323,3361464,4.800,0,1072971,458707,835863,604177,108672,75412,17218,0,94916,1166499,0,0
625,798320,3361454,4.211,0,995999,504267,861029,677481,115240,73767,16470,0,117207,995993,0,0
1507,687533,3361450,4.889,0,1038443,455607,836735,585048,94073,57642,17774,0,89290,1225281,0,0
227,880865,3361444,3.816,0,885159,533299,952125,601424,111927,75334,16470,0,91958,978907,0,0
1242,709154,3361442,4.740,0,1090987,452049,827554,599566,108389,75192,16470,0,94133,1188089,0,0
131,791050,3361430,4.249,0,927359,486045,890712,688299,120641,74001,16470,0,110072,975190,0,0
452,715558,3361428,4.698,0,1009935,436413,840316,646101,135339,81007,16470,0,103657,1102125,0,0
341,1040910,3361424,3.229,0,247577,548024,1258855,861121,152447,76714,17590,0,150019,296654,0,0
1527,768637,3361408,4.373,0,1060619,516511,847074,633729,107816,74105,16762,0,104798,1060613,0,0
771,928538,3361402,3.620,0,976377,580578,928912,592234,96063,73265,16470,0,97509,976371,0,0
561,877332,3361382,3.831,0,166467,550523,1033474,764115,147759,78044,16470,0,114857,656140,0,0
717,803607,3361378,4.183,0,1084669,576296,814244,596039,99746,79406,16470,0,94514,1084663,0,0
1389,715672,3361362,4.697,0,918577,476328,851409,661413,122407,75141,16802,0,99774,1058088,0,0
905,665651,3361354,5.050,0,859763,455377,741536,637780,113104,74002,16470,0,90713,1232372,0,0
695,719055,3361352,4.675,0,691655,450363,867474,645362,131362,81070,16470,0,104075,1065176,0,0
1534,761867,3361348,4.412,0,663143,490606,882899,672195,125198,75081,16470,0,103742,995157,0,0
529,708769,3361342,4.743,0,1086155,449316,840165,657234,130901,77571,16470,0,101236,1088449,0,0
408,905609,3361340,3.712,0,904863,559237,996609,605722,108134,74692,17918,0,94171,904857,0,0
725,778750,3361330,4.316,0,893665,487012,892862,675289,119791,76448,16502,0,107747,985679,0,0
268,757648,3361300,4.436,0,943959,464417,887433,654440,122011,75294,16470,0,106080,1035155,0,0
919,736139,3361300,4.566,0,1025261,472667,860088,609553,122190,70270,16470,0,93573,1116489,0,0
1172,797767,3361300,4.213,0,233181,535356,962704,769715,142667,77845,16470,0,106875,749668,0,0
324,961303,3361234,3.497,0,569651,558716,1112231,734716,124729,74603,17322,0,118843,620074,0,0
835,689293,3361226,4.876,0,1093149,457707,793761,620904,116088,73901,16470,0,95434,1186961,0,0
623,781102,3361222,4.303,0,978603,477231,839526,660726,114182,74015,16470,0,109433,1069639,0,0
1410,733365,3361196,4.583,0,1060397,466195,826648,614517,112804,74320,17326,0,97855,1151531,0,0
1305,716690,3361190,4.690,0,1066489,449628,849791,602285,120661,68795,16470,0,95067,1158493,0,0
