pc,all_instructions,all_total_cycles,marg_instructions,marg_total_cycles
0x1ff8778,9406,14686,1015,1591
0x1ff877c,6766,6766,727,727
0x1ff8780,6766,6766,727,727
0x1ff8784,6766,6766,727,727
0x1ff8788,6766,6766,727,727
0x1ff878c,6766,6766,727,727
0x1ff8790,6766,13532,727,1454
0x1ff8794,6767,14350,727,1540
0x1ff8798,2640,2640,288,288
0x1ff879c,2640,5282,288,576
0x1ff87c0,46435,46435,5011,5011
0x1ff87c4,46435,46435,5011,5011
0x1ff87c8,46435,118076,5011,12685
0x1ff87cc,46435,117915,5011,12712
0x1ff87d0,46435,440767,5011,47877
0x1ff87d4,46436,98457,5011,10627
0x1ff87d8,46435,46435,5011,5011
0x1ff87dc,46435,46435,5011,5011
0x1ff87e0,46435,54221,5011,5854
0x1ff87e4,46435,662825,5011,68924
0x1ff87e8,46436,220024,5011,23300
0x1ff87ec,46435,46435,5011,5011
0x1ff87f0,46435,130848,5011,14152
0x1ff87f4,46436,46438,5011,5011
0x1ff87f8,46435,132599,5011,14367
0x1ff87fc,46436,448331,5011,50114
0x1ff8800,46437,314265,5011,34765
0x1ff8804,46435,46435,5011,5011
0x1ff8808,46435,137294,5011,15032
0x1ff880c,46435,46435,5011,5011
0x1ff8810,46435,150211,5011,16442
0x1ff8814,46435,56666,5011,6211
0x1ff8818,46435,151661,5011,16553
0x1ff881c,46435,46435,5011,5011
0x1ff8820,46435,165401,5011,17891
0x1ff8824,46435,46435,5011,5011
0x1ff8828,46435,175123,5011,18935
0x1ff882c,46435,46435,5011,5011
0x1ff8830,46435,260179,5011,28194
0x1ff8834,46435,46435,5011,5011
0x1ff8838,46435,310684,5011,33734
0x1ff883c,46436,427931,5011,46249
0x1ff8840,46435,840704,5011,89830
0x1ff8844,46436,520296,5011,55985
0x1ff8848,46436,46438,5011,5011
0x1ff884c,46435,331915,5011,36216
0x1ff8850,46437,46441,5011,5011
0x1ff8854,46435,343801,5011,37603
0x1ff8858,46439,60697,5011,6583
0x1ff885c,46435,53157,5011,5765
0x1ff8860,46435,46435,5011,5011
0x1ff8864,46435,50252,5011,5473
0x1ff8868,46435,46435,5011,5011
0x1ff886c,46435,50435,5011,5491
0x1ff8870,46435,46435,5011,5011
0x1ff8874,46435,92870,5011,10022
0x1ff8878,46435,46435,5011,5011
0x1ff887c,46435,2660001,5011,289159
0x1ff8880,46437,134931,5012,14594
