pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x020490b4,12396,24818,0,12397,0,0,0,0,12421,0,12396,24818,0,12397,0,0,0,0,12421,0
0x020490d0,12396,24803,172,24631,0,0,0,0,0,0,12396,24803,172,24631,0,0,0,0,0,0
0x020134d4,9216,28628,0,9216,0,0,0,0,19412,0,8192,25471,0,8192,0,0,0,0,17279,0
0x020becac,14,29581,-42,-21,0,0,98,29546,0,0,10,26199,-30,-15,0,0,70,26174,0,0
0x02013234,9216,27973,0,27973,0,0,0,0,0,0,8192,24836,0,24836,0,0,0,0,0,0
0x0201bec4,9472,28704,0,28704,0,0,0,0,0,0,8448,25575,0,25575,0,0,0,0,0,0
0x020134c8,9216,27668,0,9221,0,0,0,0,18447,0,8192,24590,0,8196,0,0,0,0,16394,0
0x0201be1c,9216,27658,-84,18526,0,0,0,0,9216,0,8192,24584,-83,16475,0,0,0,0,8192,0
0x0201bed0,9472,28416,0,28416,0,0,0,0,0,0,8448,25344,0,25344,0,0,0,0,0,0
0x02048fbc,10354,20725,0,10371,0,0,0,0,10354,0,10354,20725,0,10371,0,0,0,0,10354,0
0x02048fb4,10355,20712,0,10358,0,0,0,0,10354,0,10355,20712,0,10358,0,0,0,0,10354,0
0x02048fc2,10354,20708,10354,0,0,0,0,0,10354,0,10354,20708,10354,0,0,0,0,0,10354,0
0x02048f78,10165,20371,0,10166,0,0,0,0,10205,0,10165,20371,0,10166,0,0,0,0,10205,0
0x02048f88,10165,20371,0,10166,0,0,0,0,10205,0,10165,20371,0,10166,0,0,0,0,10205,0
0x02048f90,10165,20340,0,20340,0,0,0,0,0,0,10165,20340,0,20340,0,0,0,0,0,0
0x02048f8e,10165,20330,10165,0,0,0,0,0,10165,0,10165,20330,10165,0,0,0,0,0,10165,0
0x01fffb78,61443,675692,268840,0,0,406852,0,0,0,0,17201,189137,76717,0,0,112420,0,0,0,0
0x0200827c,1919656,2155740,-62338,178490,2027820,11768,0,0,0,0,1061854,1191587,-34487,98842,1121040,6192,0,0,0,0
0x020c0dfc,25643,515913,-5663,130701,358667,4843,0,0,27365,0,15576,242722,-2173,60460,166951,1542,0,0,15942,0
0x01fff4fc,756478,1377099,1377099,0,0,0,0,0,0,0,50485,92697,92697,0,0,0,0,0,0,0
0x0200827e,1919652,2076442,2076442,0,0,0,0,0,0,0,1061852,1148410,1148410,0,0,0,0,0,0,0
0x02001484,557287,14243185,-2344434,412341,15508485,666793,0,0,0,0,35468,812811,-132805,23406,883494,38716,0,0,0,0
0x02013408,5875,24776,-107,13032,5958,8,0,0,5885,0,5219,21994,-97,11552,5302,8,0,0,5229,0
0x0200826c,1041862,2089846,2,2089844,0,0,0,0,0,0,571641,1146658,2,1146656,0,0,0,0,0,0
0x02008278,982000,1859792,0,1859792,0,0,0,0,0,0,547209,1037419,0,1037419,0,0,0,0,0,0
0x02008292,1041861,2073103,1042543,1030560,0,0,0,0,0,0,571640,1137464,572024,565440,0,0,0,0,0,0
0x02008280,1919651,1919893,0,1919893,0,0,0,0,0,0,1061851,1061989,0,1061989,0,0,0,0,0,0
0x020b8b90,98834,600144,-3774,205285,299401,104,0,0,99128,0,29868,181283,-1151,62060,90405,20,0,0,29949,0
0x0206b7b8,33098,1640854,-195641,32611,1658012,145872,0,0,0,0,4544,229081,-27078,4513,229048,22598,0,0,0,0
0x01ff90a0,52800,26780168,52800,0,0,0,369600,26357768,0,0,2640,1338976,2640,0,0,0,18480,1317856,0,0
0x0201bdf8,9216,18517,-67,18584,0,0,0,0,0,0,8192,16452,-60,16512,0,0,0,0,0,0
0x0201bddc,9216,18462,-115,9336,9241,0,0,0,0,0,8192,16412,-100,8295,8217,0,0,0,0,0
0x0201be50,9472,18966,0,9484,0,0,0,0,9482,0,8448,16916,0,8458,0,0,0,0,8458,0
0x0201bd5c,9472,18961,0,9484,0,0,0,0,9477,0,8448,16911,0,8458,0,0,0,0,8453,0
0x0201bde4,9216,18447,-89,18536,0,0,0,0,0,0,8192,16396,-84,16480,0,0,0,0,0,0
0x0201bd68,9472,18956,0,9484,0,0,0,0,9472,0,8448,16906,0,8458,0,0,0,0,8448,0
0x0201bd9c,9216,18442,0,18442,0,0,0,0,0,0,8192,16392,0,16392,0,0,0,0,0,0
0x0201bda8,9216,18442,0,18442,0,0,0,0,0,0,8192,16392,0,16392,0,0,0,0,0,0
0x0201bdb4,9216,18442,0,18442,0,0,0,0,0,0,8192,16392,0,16392,0,0,0,0,0,0
0x0201bdcc,9216,18442,0,18442,0,0,0,0,0,0,8192,16392,0,16392,0,0,0,0,0,0
0x0201be04,9216,18442,0,18442,0,0,0,0,0,0,8192,16392,0,16392,0,0,0,0,0,0
0x0201bde8,9216,18437,0,9221,0,0,0,0,9216,0,8192,16388,0,8196,0,0,0,0,8192,0
0x0201bdfc,9216,18437,0,9221,0,0,0,0,9216,0,8192,16388,0,8196,0,0,0,0,8192,0
0x0201be20,9216,18437,0,9221,0,0,0,0,9216,0,8192,16388,0,8196,0,0,0,0,8192,0
0x020c0ed8,25643,556345,41558,101649,363085,12278,0,0,37775,0,15576,245086,13499,45156,161137,4858,0,0,20436,0
0x020134e4,5875,17781,0,17781,0,0,0,0,0,0,5219,15790,0,15790,0,0,0,0,0,0
0x0201be58,9472,16398,87,16311,0,0,0,0,0,0,8448,15357,87,15270,0,0,0,0,0,0
0x020c0d4c,25643,184706,7519,165181,0,12006,0,0,0,0,15576,110139,3746,102132,0,4261,0,0,0,0
0x01fff5a6,771919,1375893,1375893,0,0,0,0,0,0,0,89678,169027,169027,0,0,0,0,0,0,0
0x01fff566,192131,192135,192135,0,0,0,0,0,0,0,24899,24901,24901,0,0,0,0,0,0,0
0x01fff53a,193839,193839,193839,0,0,0,0,0,0,0,26535,26535,26535,0,0,0,0,0,0,0
0x01fff53c,193839,193839,193839,0,0,0,0,0,0,0,26535,26535,26535,0,0,0,0,0,0,0
0x01fff53e,193840,193842,193842,0,0,0,0,0,0,0,26536,26538,26538,0,0,0,0,0,0,0
0x01fff542,193839,193839,193839,0,0,0,0,0,0,0,26535,26535,26535,0,0,0,0,0,0,0
0x01fff548,191766,191768,191768,0,0,0,0,0,0,0,25265,25265,25265,0,0,0,0,0,0,0
0x01fff54a,191765,191765,191765,0,0,0,0,0,0,0,25265,25265,25265,0,0,0,0,0,0,0
0x01fff55e,193839,193839,193839,0,0,0,0,0,0,0,26535,26535,26535,0,0,0,0,0,0,0
0x01fff568,192129,192129,192129,0,0,0,0,0,0,0,24898,24898,24898,0,0,0,0,0,0,0
0x01fff56a,192129,192129,192129,0,0,0,0,0,0,0,24898,24898,24898,0,0,0,0,0,0,0
0x01fff56c,192129,192129,192129,0,0,0,0,0,0,0,24898,24898,24898,0,0,0,0,0,0,0
0x01fff56e,192129,192129,192129,0,0,0,0,0,0,0,24898,24898,24898,0,0,0,0,0,0,0
0x01fff570,192129,192129,192129,0,0,0,0,0,0,0,24898,24898,24898,0,0,0,0,0,0,0
0x01fff572,192129,192129,192129,0,0,0,0,0,0,0,24898,24898,24898,0,0,0,0,0,0,0
0x01fff574,192129,194203,194203,0,0,0,0,0,0,0,24898,26168,26168,0,0,0,0,0,0,0
0x01fff576,190055,190055,190055,0,0,0,0,0,0,0,23628,23628,23628,0,0,0,0,0,0,0
