elapsed,name,topChanged,bottomChanged,topColors
582,f00582s-0B70422D.png,0.000000,0.000000,2496
587,f00587s-0B70422D.png,0.000000,0.000000,2496
592,f00592s-0B70422D.png,0.000000,0.000000,2496
598,f00598s-0B70422D.png,0.000000,0.000000,2496
603,f00603s-9C2DF21C.png,0.000000,0.000000,2496
608,f00608s-9C2DF21C.png,0.000000,0.000000,2496
613,f00613s-9C2DF21C.png,0.000000,0.000000,2496
619,f00619s-0B70422D.png,0.000000,0.000000,2496
625,f00625s-0B70422D.png,0.000000,0.000000,2496
630,f00630s-0B70422D.png,0.000000,0.000000,2496
635,f00635s-0B70422D.png,0.000000,0.000000,2496
641,f00641s-0B70422D.png,0.000000,0.000000,2496
646,f00646s-0B70422D.png,0.000000,0.000000,2496
651,f00651s-0B70422D.png,0.000000,0.000000,2496
656,f00656s-0B70422D.png,0.000000,0.000000,2496
662,f00662s-0B70422D.png,0.000000,0.000000,2496
