0x020ca0b2 in __get_handle ()
Temporary breakpoint 1 at 0x2080198: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
FPSP battle entered
Breakpoint 2 at 0x204fe28: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4645.
FPSP 75 x10=299 sc=5 fw=15 tw=16799552 pres=74 vbl=193
FPSP 76 x10=299 sc=5 fw=15 tw=16799552 pres=75 vbl=195
FPSP 77 x10=299 sc=5 fw=15 tw=16799552 pres=76 vbl=197
FPSP 78 x10=299 sc=5 fw=15 tw=16799552 pres=77 vbl=199
FPSP 79 x10=299 sc=6 fw=15 tw=16807104 pres=78 vbl=201
FPSP 80 x10=299 sc=6 fw=15 tw=16807104 pres=79 vbl=203
FPSP 81 x10=299 sc=6 fw=15 tw=16807104 pres=80 vbl=205
FPSP 82 x10=299 sc=6 fw=15 tw=16807104 pres=81 vbl=207
FPSP 83 x10=299 sc=6 fw=15 tw=16807104 pres=82 vbl=209
FPSP 84 x10=299 sc=6 fw=15 tw=16807104 pres=83 vbl=211
FPSP 85 x10=299 sc=6 fw=15 tw=16807104 pres=84 vbl=213
FPSP 86 x10=299 sc=6 fw=15 tw=16807104 pres=85 vbl=215
FPSP 87 x10=299 sc=6 fw=15 tw=16807104 pres=86 vbl=217
FPSP 88 x10=299 sc=6 fw=15 tw=16807104 pres=87 vbl=219
FPSP 89 x10=299 sc=6 fw=15 tw=16807104 pres=88 vbl=221
FPSP 90 x10=299 sc=6 fw=15 tw=16807104 pres=89 vbl=223
FPSP 91 x10=299 sc=6 fw=15 tw=16807104 pres=90 vbl=225
FPSP 92 x10=299 sc=6 fw=15 tw=16807104 pres=91 vbl=227
FPSP 93 x10=299 sc=6 fw=15 tw=16807104 pres=92 vbl=229
FPSP 94 x10=299 sc=7 fw=15 tw=16798848 pres=93 vbl=231
FPSP 95 x10=299 sc=7 fw=15 tw=16798848 pres=94 vbl=233
FPSP 96 x10=299 sc=7 fw=15 tw=16798848 pres=95 vbl=235
