0x01ffec2a in memcpy ()
Temporary breakpoint 1 at 0x2080150: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
FPSP battle entered
Breakpoint 2 at 0x204fde0: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4645.
FPSP 75 x10=299 sc=5 fw=15 tw=16807488 pres=74 vbl=194
FPSP 76 x10=299 sc=5 fw=15 tw=16807488 pres=75 vbl=196
FPSP 77 x10=299 sc=5 fw=15 tw=16807488 pres=76 vbl=198
FPSP 78 x10=299 sc=6 fw=15 tw=16796160 pres=77 vbl=200
FPSP 79 x10=299 sc=6 fw=15 tw=16796160 pres=78 vbl=202
FPSP 80 x10=299 sc=6 fw=15 tw=16796160 pres=79 vbl=204
FPSP 81 x10=299 sc=6 fw=15 tw=16796160 pres=80 vbl=206
FPSP 82 x10=299 sc=6 fw=15 tw=16796160 pres=81 vbl=208
FPSP 83 x10=299 sc=6 fw=15 tw=16796160 pres=82 vbl=210
FPSP 84 x10=299 sc=6 fw=15 tw=16796160 pres=83 vbl=212
FPSP 85 x10=299 sc=6 fw=15 tw=16796160 pres=84 vbl=214
FPSP 86 x10=299 sc=6 fw=15 tw=16796160 pres=85 vbl=216
FPSP 87 x10=299 sc=6 fw=15 tw=16796160 pres=86 vbl=218
FPSP 88 x10=299 sc=6 fw=15 tw=16796160 pres=87 vbl=220
FPSP 89 x10=299 sc=6 fw=15 tw=16796160 pres=88 vbl=222
FPSP 90 x10=299 sc=6 fw=15 tw=16796160 pres=89 vbl=224
FPSP 91 x10=299 sc=6 fw=15 tw=16796160 pres=90 vbl=226
FPSP 92 x10=299 sc=6 fw=15 tw=16796160 pres=91 vbl=228
FPSP 93 x10=299 sc=7 fw=15 tw=16808768 pres=92 vbl=230
FPSP 94 x10=299 sc=7 fw=15 tw=16808768 pres=93 vbl=232
FPSP 95 x10=299 sc=7 fw=15 tw=16808768 pres=94 vbl=234
FPSP 96 x10=299 sc=7 fw=15 tw=16808768 pres=95 vbl=236
FPSP 97 x10=299 sc=7 fw=15 tw=16808768 pres=96 vbl=238
FPSP 98 x10=299 sc=7 fw=15 tw=16808768 pres=97 vbl=240
FPSP 99 x10=299 sc=7 fw=15 tw=16808768 pres=98 vbl=242
FPSP 100 x10=299 sc=7 fw=15 tw=16808768 pres=99 vbl=244
FPSP 101 x10=299 sc=7 fw=15 tw=16808768 pres=100 vbl=246
FPSP 102 x10=299 sc=7 fw=15 tw=16808768 pres=101 vbl=248
FPSP 103 x10=299 sc=7 fw=15 tw=16808768 pres=102 vbl=250
FPSP 104 x10=299 sc=7 fw=15 tw=16808768 pres=103 vbl=252
FPSP 105 x10=299 sc=7 fw=15 tw=16808768 pres=104 vbl=254
FPSP 106 x10=299 sc=7 fw=15 tw=16808768 pres=105 vbl=256
FPSP 107 x10=299 sc=7 fw=15 tw=16808768 pres=106 vbl=258
FPSP 108 x10=299 sc=8 fw=15 tw=16793472 pres=107 vbl=260
FPSP 109 x10=299 sc=8 fw=15 tw=16793472 pres=108 vbl=262
FPSP 110 x10=299 sc=8 fw=15 tw=16793472 pres=109 vbl=264
FPSP 111 x10=299 sc=8 fw=15 tw=16793472 pres=110 vbl=266
FPSP 112 x10=299 sc=8 fw=15 tw=16793472 pres=111 vbl=268
FPSP 113 x10=299 sc=8 fw=15 tw=16793472 pres=112 vbl=270
FPSP 114 x10=299 sc=8 fw=15 tw=16793472 pres=113 vbl=272
FPSP 115 x10=299 sc=8 fw=15 tw=16793472 pres=114 vbl=274
FPSP 116 x10=299 sc=8 fw=15 tw=16793472 pres=115 vbl=276
FPSP 117 x10=299 sc=8 fw=15 tw=16793472 pres=116 vbl=278
FPSP 118 x10=299 sc=8 fw=15 tw=16793472 pres=117 vbl=280
FPSP 119 x10=299 sc=8 fw=15 tw=16793472 pres=118 vbl=282
FPSP 120 x10=299 sc=8 fw=15 tw=16793472 pres=119 vbl=284
FPSP 121 x10=299 sc=8 fw=15 tw=16793472 pres=120 vbl=286
FPSP 122 x10=299 sc=8 fw=15 tw=16793472 pres=121 vbl=288
FPSP 123 x10=299 sc=9 fw=15 tw=16827328 pres=122 vbl=290
FPSP 124 x10=299 sc=9 fw=15 tw=16827328 pres=123 vbl=292
FPSP 125 x10=299 sc=9 fw=15 tw=16827328 pres=124 vbl=294
FPSP 126 x10=299 sc=9 fw=15 tw=16827328 pres=125 vbl=296
FPSP 127 x10=299 sc=9 fw=15 tw=16827328 pres=126 vbl=298
FPSP 128 x10=299 sc=9 fw=15 tw=16827328 pres=127 vbl=300
FPSP 129 x10=299 sc=9 fw=15 tw=16827328 pres=128 vbl=302
FPSP 130 x10=299 sc=9 fw=15 tw=16827328 pres=129 vbl=304
FPSP 131 x10=299 sc=9 fw=15 tw=16827328 pres=130 vbl=306
FPSP 132 x10=299 sc=9 fw=15 tw=16827328 pres=131 vbl=308
FPSP 133 x10=299 sc=9 fw=15 tw=16827328 pres=132 vbl=310
