region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1268,755255,3361582,4.451,0,1062225,504662,844573,639906,116646,74822,16470,0,102284,1062219,0,0
625,798400,3361566,4.210,0,989921,504050,866569,676325,117294,73875,16470,0,117068,989915,0,0
770,945771,3361550,3.554,0,1026231,715898,753931,578179,96905,78444,16470,0,95498,1026225,0,0
1219,761724,3361542,4.413,0,893085,475222,908397,701315,130318,76838,16470,0,112166,940816,0,0
798,962663,3361526,3.492,0,168805,684444,980764,745717,134375,81061,16470,0,112393,606302,0,0
393,797522,3361520,4.215,0,779851,480785,949345,708779,147534,76855,17750,0,107601,872871,0,0
1498,748569,3361520,4.491,0,958979,486187,883690,628649,117655,77791,17870,0,98130,1051548,0,0
1397,734181,3361504,4.579,0,1060791,453054,863677,666583,116372,74098,16986,0,109949,1060785,0,0
125,751812,3361488,4.471,0,1040045,482481,823900,621248,111453,75263,16502,0,99618,1131023,0,0
166,784549,3361486,4.285,0,962869,525075,876519,672534,125421,76803,16470,0,105801,962863,0,0
353,1192839,3361466,2.818,0,61015,828294,1074126,789950,150704,80546,17782,0,123715,296349,0,0
1389,702267,3361466,4.787,0,1090711,460488,834151,626432,110815,74971,16802,0,99179,1138628,0,0
494,700268,3361464,4.800,0,1038551,435246,825098,652205,128085,75929,16470,0,98883,1129548,0,0
227,906838,3361380,3.707,0,888973,682110,797325,601815,109429,80517,16470,0,91405,982309,0,0
1221,746554,3361378,4.503,0,555249,472654,863085,677641,135578,76473,16470,0,103705,1015772,0,0
404,785167,3361366,4.281,0,773967,553332,831151,651203,122760,78279,17866,0,94572,1012203,0,0
717,790803,3361364,4.251,0,1111467,567496,789950,599821,103283,79248,16502,0,93603,1111461,0,0
153,964020,3361362,3.487,0,922843,745816,813151,591571,99051,80696,16470,0,91770,922837,0,0
539,835819,3361360,4.022,0,567629,527172,944968,706974,130780,77226,16518,0,109798,847924,0,0
150,1247921,3361344,2.694,0,221221,971751,915786,652974,111599,86077,16470,0,101940,504747,0,0
667,806673,3361338,4.167,0,1013425,510170,851721,665229,114386,74615,16470,0,115328,1013419,0,0
396,819479,3361292,4.102,0,748217,463270,964482,708032,127720,75297,17726,0,113741,891024,0,0
366,888808,3361266,3.782,0,877297,620182,886022,653016,122661,77194,17706,0,105614,878871,0,0
644,803225,3361252,4.185,0,655833,587559,805675,666986,130823,78482,16470,0,91815,983442,0,0
1273,792992,3361250,4.239,0,777519,527313,885033,658194,107190,74553,16470,0,106301,986196,0,0
1507,675096,3361228,4.979,0,1068613,446646,817964,586058,92412,57510,17806,0,88209,1254623,0,0
310,709577,3361226,4.737,0,1071227,449282,829599,617648,112148,75143,16906,0,96578,1163922,0,0
151,939982,3361218,3.576,0,1020997,723112,767801,567253,97167,80460,16470,0,87964,1020991,0,0
