region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
113,1207555,4481704,3.711,0,1062537
58,974929,3362304,3.449,0,788645
88,959608,3362164,3.504,0,821801
102,1155302,3361824,2.910,0,337735
128,888289,3361778,3.785,0,1042317
116,950910,3361660,3.535,0,821235
30,1045789,3361444,3.214,0,579501
32,784023,3361370,4.287,0,1027369
73,1239023,3361352,2.713,0,78765
1,995173,3361293,3.378,0,711115
47,839492,3361100,4.004,0,904521
46,940615,3361080,3.573,0,949839
44,1012103,3361074,3.321,0,735531
15,987084,3360984,3.405,0,724837
94,882065,3360848,3.810,0,1001803
13,804657,3360840,4.177,0,1101115
42,707007,2242118,3.171,0,260971
23,664722,2241958,3.373,0,267631
120,795482,2241924,2.818,0,108391
100,739568,2241906,3.031,0,175337
6,659902,2241760,3.397,0,290729
40,688000,2241678,3.258,0,287561
90,673363,2241646,3.329,0,276671
72,640277,2241610,3.501,0,360769
92,620339,2241484,3.613,0,422065
14,682503,2241478,3.284,0,250125
60,702407,2241440,3.191,0,192327
33,686327,2241380,3.266,0,287527
66,640083,2241344,3.502,0,357395
51,769666,2241316,2.912,0,81929
84,630027,2241284,3.557,0,300983
82,628775,2241250,3.564,0,391183
76,650020,2241210,3.448,0,366211
124,754535,2241202,2.970,0,233335
3,664605,2241166,3.372,0,293277
56,667336,2241128,3.358,0,317997
110,666301,2241118,3.364,0,360957
95,623093,2241106,3.597,0,258477
97,611941,2241102,3.662,0,442587
50,689679,2241100,3.249,0,220347
106,714729,2241074,3.136,0,237655
26,665518,2241072,3.367,0,279765
79,627750,2241072,3.570,0,403207
25,670762,2241040,3.341,0,248435
111,828211,2241034,2.706,0,18509
69,642019,2241028,3.491,0,364281
21,662527,2241012,3.383,0,283517
29,663355,2241008,3.378,0,275211
17,663613,2241004,3.377,0,281331
37,700980,2240990,3.197,0,266139
54,668390,2240952,3.353,0,319619
10,660744,2240950,3.392,0,279985
109,692259,2240948,3.237,0,295889
8,660947,2240918,3.390,0,289329
98,613117,2240896,3.655,0,290863
107,715810,2240892,3.131,0,237335
80,626492,2240884,3.577,0,406007
64,646948,2240856,3.464,0,351941
22,663660,2240852,3.377,0,275075
104,740462,2240852,3.026,0,116547
105,752606,2240836,2.977,0,86771
126,769988,2240800,2.910,0,178871
16,668651,2240758,3.351,0,254843
11,672769,2240754,3.331,0,112929
34,691099,2240754,3.242,0,260783
86,630176,2240738,3.556,0,390147
48,681042,2240736,3.290,0,240237
62,652586,2240734,3.434,0,338299
71,643337,2240714,3.483,0,356347
85,630794,2240704,3.552,0,389325
5,663062,2240696,3.379,0,294727
36,690566,2240692,3.245,0,283097
63,654580,2240692,3.423,0,334207
19,664197,2240668,3.373,0,276711
81,628310,2240664,3.566,0,394561
119,766807,2240650,2.922,0,212645
49,685184,2240644,3.270,0,229209
35,683892,2240636,3.276,0,290267
9,662107,2240624,3.384,0,291605
125,749315,2240620,2.990,0,232617
77,624188,2240596,3.590,0,403109
115,683052,2240580,3.280,0,133495
70,642733,2240566,3.486,0,352411
39,686918,2240560,3.262,0,284251
18,663599,2240536,3.376,0,277093
53,689616,2240514,3.249,0,262375
57,706217,2240512,3.173,0,220263
68,760010,2240504,2.948,0,103313
118,790824,2240500,2.833,0,155943
117,696715,2240496,3.216,0,286789
78,627604,2240486,3.570,0,395693
114,629392,2240476,3.560,0,372305
93,621658,2240468,3.604,0,416195
112,671942,2240466,3.334,0,350127
127,783464,2240466,2.860,0,146265
12,666426,2240460,3.362,0,280963
61,653498,2240454,3.428,0,341199
67,761205,2240444,2.943,0,117067
123,747107,2240432,2.999,0,258365
96,613750,2240424,3.650,0,443221
55,670908,2240418,3.339,0,309893
7,666439,2240366,3.362,0,263711
103,760912,2240354,2.944,0,63019
43,713204,2240334,3.141,0,218793
122,752507,2240306,2.977,0,255113
28,662229,2240292,3.383,0,281991
45,686150,2240292,3.265,0,278611
52,717082,2240278,3.124,0,60071
121,755409,2240270,2.966,0,235227
38,686080,2240238,3.265,0,282941
65,642263,2240176,3.488,0,361445
87,631762,2240162,3.546,0,382609
108,716651,2240158,3.126,0,240703
24,665415,2240134,3.367,0,268497
75,628112,2240104,3.566,0,389195
27,662405,2240086,3.382,0,272689
99,616801,2240086,3.632,0,429517
74,751368,2240064,2.981,0,139015
83,631516,2240020,3.547,0,389205
31,669242,2240014,3.347,0,256811
91,621912,2239938,3.602,0,307131
2,660932,2239884,3.389,0,290001
4,663310,2239878,3.377,0,292229
89,761045,2239846,2.943,0,92703
41,689731,2239732,3.247,0,279363
20,665312,2239714,3.366,0,276809
59,650867,2239710,3.441,0,337785
101,742241,2239636,3.017,0,170711
0,6,15,2.500,1,6
