region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
22,727271,3361502,4.622,0,1099693,479152,821403,612230,110020,76188,16470,0,95027,1151012,0,0
644,802756,3361502,4.187,0,798863,577012,801950,645090,116956,78405,16470,0,92136,1033483,0,0
1556,735900,3361494,4.568,0,1021061,481127,821937,637291,113598,76195,16470,0,100305,1114571,0,0
358,756944,3361486,4.441,0,1102487,479666,864625,614428,105519,75157,17782,0,101828,1102481,0,0
455,756074,3361486,4.446,0,912481,436789,914388,683866,149936,86752,16470,0,112659,960626,0,0
456,710111,3361460,4.734,0,996963,422920,848910,646948,147338,86994,16470,0,102323,1089557,0,0
768,935402,3361444,3.594,0,999951,699765,769178,600461,97423,78627,16470,0,97999,1001521,0,0
404,790534,3361426,4.252,0,822725,548738,822636,656133,127764,78071,17866,0,94758,1015460,0,0
645,1207032,3361418,2.785,0,157329,873990,1041112,761091,123641,82231,16470,0,118568,344315,0,0
165,785045,3361416,4.282,0,900191,504202,868980,670056,130331,76863,16470,0,101767,992747,0,0
1287,691955,3361410,4.858,0,810857,456026,789279,673875,117692,74088,16470,0,98170,1135810,0,0
493,749892,3361372,4.482,0,471821,455945,908511,711739,139318,75728,16470,0,112991,940670,0,0
1438,729746,3361352,4.606,0,776657,467406,850772,622247,114534,76130,17642,0,96984,1115637,0,0
1397,721112,3361332,4.661,0,1114927,443859,834855,653619,115719,73735,16986,0,107638,1114921,0,0
1226,695112,3361328,4.836,0,1081073,445755,781955,642328,130176,75926,16470,0,96461,1172257,0,0
353,1135761,3361326,2.960,0,336465,810423,996359,727504,133512,80244,17782,0,116052,479450,0,0
499,758208,3361326,4.433,0,937715,457086,845074,698373,131754,73915,16470,0,108206,1030448,0,0
903,729629,3361316,4.607,0,1017711,470088,803498,664388,119637,73296,16470,0,103271,1110668,0,0
1264,1094824,3361302,3.070,0,299895,564134,1217108,775613,127730,75039,16470,0,148512,436696,0,0
227,933453,3361292,3.601,0,935585,667288,802964,603585,109166,80125,16470,0,94491,987203,0,0
539,877119,3361278,3.832,0,523689,522720,977755,715297,132004,77044,16470,0,114281,805707,0,0
1102,777727,3361274,4.322,0,901339,558346,783240,630266,115707,79039,16470,0,90438,1087768,0,0
1373,737094,3361266,4.560,0,890869,442736,871997,688121,120297,73752,16630,0,113984,1033749,0,0
415,755626,3361264,4.448,0,935991,477712,853050,672486,135173,76641,17670,0,101159,1027373,0,0
1534,707151,3361264,4.753,0,1109483,473044,811632,621175,109284,74838,16470,0,97261,1157560,0,0
324,972746,3361254,3.455,0,600419,626284,1013226,732653,125675,77456,17322,0,118100,650538,0,0
138,782379,3361248,4.296,0,962413,488245,852560,620461,108085,75089,16470,0,101420,1098918,0,0
1145,790507,3361208,4.252,0,902419,485302,918834,703093,136341,81457,16470,0,117298,902413,0,0
243,712662,3361198,4.716,0,1085263,460896,824392,639913,112473,75178,16470,0,98550,1133326,0,0
131,790794,3361182,4.250,0,932127,483399,882944,693120,119839,74016,16470,0,110304,981090,0,0
1269,709070,3361156,4.740,0,922227,494912,782948,633932,113037,75833,16470,0,89889,1154135,0,0
396,874841,3361154,3.842,0,553637,472356,1023118,764343,145944,75516,17726,0,120031,742120,0,0
341,1027927,3361150,3.270,0,301729,535643,1219181,857894,152927,76465,20764,0,149008,349268,0,0
1389,702164,3361148,4.787,0,1108935,456709,824305,623500,109374,74891,16802,0,98535,1157032,0,0
721,904629,3361122,3.715,0,950159,676258,818043,615925,107030,81793,16470,0,95450,950153,0,0
1440,824852,3361122,4.075,0,632581,491522,968363,726705,139892,81327,17634,0,113125,822554,0,0
18,898872,3361094,3.739,0,403633,523191,1014955,749776,138123,75669,16470,0,121068,721842,0,0
1308,731967,3361090,4.592,0,1045647,451209,850562,615647,123506,70184,16470,0,96457,1137055,0,0
770,945453,3361084,3.555,0,1024691,716768,747356,585300,96579,78350,16470,0,95576,1024685,0,0
436,771618,3361082,4.356,0,888287,498627,862236,684004,138003,76268,16802,0,102146,982996,0,0
699,763396,3361076,4.403,0,1034943,469057,862381,662158,124653,82438,16502,0,108950,1034937,0,0
147,734413,3361066,4.577,0,921921,519174,798878,635188,112376,76970,16470,0,89689,1112321,0,0
9,758779,3361056,4.430,0,1090139,488301,838611,634855,113874,75853,16470,0,102959,1090133,0,0
150,1204467,3361056,2.790,0,542499,964699,856320,639676,111349,85903,16550,0,96035,590524,0,0
85,776988,3361040,4.326,0,1035507,555513,783433,596793,110753,78598,16668,0,88550,1130732,0,0
1033,760323,3361030,4.421,0,565233,448766,869475,691734,128768,73617,16470,0,111069,1021131,0,0
711,771099,3361012,4.359,0,644293,492546,894453,719091,133360,78248,16470,0,102775,924069,0,0
1527,768550,3361002,4.373,0,977125,512744,838922,640737,108944,74141,16762,0,104924,1063828,0,0
405,919153,3360978,3.657,0,971313,690743,803113,600158,103754,80733,17766,0,93404,971307,0,0
374,996468,3360974,3.373,0,708747,734546,886020,637634,106995,80362,17806,0,102569,795042,0,0
133,743505,3360972,4.520,0,1101647,458819,825691,627848,110056,74804,16470,0,97442,1149842,0,0
835,689134,3360972,4.877,0,1090283,453469,789930,629034,118138,73949,16502,0,95843,1184107,0,0
168,813867,3360948,4.130,0,895569,541257,893011,696902,129615,76726,16470,0,109096,897871,0,0
166,771723,3360946,4.355,0,1023077,516090,841193,661980,122171,76437,16470,0,103534,1023071,0,0
408,929562,3360942,3.616,0,961101,703968,807049,593981,103608,80276,17886,0,93079,961095,0,0
151,939631,3360926,3.577,0,1028121,719895,755384,572793,100204,80360,16470,0,87705,1028115,0,0
795,855254,3360922,3.930,0,1001363,607101,756186,600026,114446,79180,16470,0,90337,1097176,0,0
971,1122909,3360896,2.993,0,271603,508463,1253057,792573,147502,76001,19602,0,154949,408749,0,0
905,663717,3360890,5.064,0,499589,447840,733139,632945,113621,73904,16502,0,90623,1252316,0,0
354,1078564,3360880,3.116,0,497449,793516,911404,651107,112487,80255,17782,0,102401,691928,0,0
1142,717145,3360870,4.686,0,1026635,431912,837668,643457,130042,81755,16470,0,100929,1118637,0,0
154,916935,3360850,3.665,0,1006149,698190,779382,586305,103841,80458,16470,0,90061,1006143,0,0
1153,688223,3360834,4.883,0,1036919,430598,800483,644837,117124,75138,16470,0,98498,1177686,0,0
1299,791842,3360832,4.244,0,209055,470259,987753,780446,157825,67603,16470,0,109910,770566,0,0
669,734285,3360828,4.577,0,1114855,460566,775499,616938,110419,74847,16470,0,99680,1206409,0,0
1029,1056338,3360818,3.182,0,423373,523774,1146593,788391,148281,73394,16470,0,147989,515926,0,0
1417,797351,3360818,4.215,0,982003,482008,913278,665780,112601,75897,17438,0,109633,984183,0,0
162,887655,3360816,3.786,0,783247,482531,1029029,712767,132708,77511,19644,0,120983,785643,0,0
181,771492,3360790,4.356,0,981853,472303,891451,689076,119491,74537,16470,0,115615,981847,0,0
769,947736,3360790,3.546,0,1009229,717153,752187,591369,99819,78379,16470,0,96190,1009223,0,0
393,733847,3360760,4.580,0,1068547,463309,852865,649586,130212,76521,17750,0,99670,1070847,0,0
366,888423,3360708,3.783,0,885569,615570,873958,657453,125840,77106,17706,0,105706,887369,0,0
212,710514,3360704,4.730,0,1085421,461805,792865,628124,109303,75133,16502,0,97201,1179771,0,0
1295,630106,3360646,5.333,0,973887,423209,712304,630068,113693,73974,16470,0,87743,1303185,0,0
1273,792735,3360640,4.239,0,756103,522483,876295,668093,108100,74457,16470,0,106332,988410,0,0
1279,752187,3360602,4.468,0,1092961,486377,833796,645923,108128,73860,16470,0,103093,1092955,0,0
437,790232,3360586,4.253,0,989943,508785,868286,676075,115658,74405,16790,0,109158,991429,0,0
1140,719142,3360536,4.673,0,1070355,455890,860872,646880,122540,81948,16470,0,103961,1071975,0,0
153,950886,3360518,3.534,0,983725,732447,774896,581828,101566,80300,16470,0,89292,983719,0,0
667,806324,3360440,4.168,0,998945,505652,850439,678830,119249,74497,16470,0,116364,998939,0,0
882,687519,3360386,4.888,0,1104369,437146,773974,643691,118022,73132,16470,0,98750,1199201,0,0
625,798086,3360372,4.211,0,988799,499902,859921,686833,116941,73769,16470,0,117743,988793,0,0
407,907832,3360280,3.701,0,990563,686125,798197,592499,102756,80207,17782,0,92157,990557,0,0
343,751919,3360260,4.469,0,1104491,482185,830653,640034,108622,73671,17642,0,102968,1104485,0,0
269,741666,3360226,4.531,0,1015045,455909,842509,637323,121066,74775,16470,0,100991,1111183,0,0
149,981424,3360064,3.424,0,900633,753400,811318,600178,103741,81085,16502,0,93213,900627,0,0
359,888339,3360054,3.782,0,905237,621626,869833,654689,107369,77338,17782,0,104053,907364,0,0
719,900374,3359718,3.731,0,977285,669292,806999,610105,102328,81706,16470,0,95539,977279,0,0
459,774798,3359656,4.336,0,1024709,497090,849030,640467,134126,86911,16470,0,110859,1024703,0,0
1054,602545,2248476,3.732,0,317559,392136,712336,550778,98023,74861,16470,0,86319,317553,0,0
1538,634039,2242864,3.537,0,181035,426481,712595,549559,99383,74305,16470,0,85183,278888,0,0
38,706346,2242772,3.175,0,83409,441448,803953,617241,104239,74055,16470,0,101963,83403,0,0
998,684756,2242588,3.275,0,74817,420848,803495,637638,110961,73498,16470,0,104867,74811,0,0
638,550447,2242506,4.074,0,481461,353004,633127,511789,93452,73103,16470,0,80106,481455,0,0
876,692247,2242426,3.239,0,108003,434450,789910,617071,103085,73086,16470,0,100357,107997,0,0
832,546710,2242394,4.102,0,456991,359314,647074,512687,96900,73674,16502,0,79258,456985,0,0
624,676197,2242342,3.316,0,237663,436854,715765,569358,97385,73767,16470,0,95086,237657,0,0
817,558440,2242336,4.015,0,436415,363422,653025,523139,95182,74056,16470,0,80633,436409,0,0
191,547456,2242282,4.096,0,493559,352685,623824,509968,93219,73188,16470,0,79375,493553,0,0
1553,643204,2242226,3.486,0,274343,430136,715177,547141,98352,74915,16470,0,85698,274337,0,0
1178,678994,2242204,3.302,0,231867,451897,713210,565361,97219,75501,16470,0,90685,231861,0,0
855,579051,2242172,3.872,0,412639,379807,654519,527451,96268,72895,16518,0,82081,412633,0,0
773,674285,2242158,3.325,0,79033,437549,732422,604874,111527,73951,16470,0,94770,170595,0,0
1358,552834,2242152,4.056,0,417781,366123,649836,519861,115760,75152,19602,0,78043,417775,0,0
934,735447,2242134,3.049,0,59305,434202,882458,576352,110918,60299,19602,0,99004,59299,0,0
412,719186,2242116,3.118,0,16729,476941,806037,629471,122316,76479,17704,0,96445,16723,0,0
470,587417,2242100,3.817,0,385601,362190,671455,546243,100878,73113,16470,0,86156,385595,0,0
1057,586155,2242080,3.825,0,362539,381981,682830,541861,97847,74528,16470,0,84030,362533,0,0
643,563406,2242076,3.980,0,443615,360406,652259,520530,94035,73692,16470,0,81075,443609,0,0
1420,637831,2242068,3.515,0,253567,416887,732205,559508,100677,75117,17514,0,86599,253561,0,0
271,712071,2242060,3.149,0,44596,454329,761814,600814,113195,74395,16470,0,93521,127522,0,0
278,620090,2242052,3.616,0,120093,410282,689758,553830,109698,75346,16470,0,80822,305846,0,0
893,586680,2242052,3.822,0,424471,385912,651319,516954,91875,72832,16470,0,82225,424465,0,0
995,588441,2242018,3.810,0,285401,372655,725070,558951,118858,75895,19602,0,85592,285395,0,0
1403,630389,2242014,3.557,0,148435,417010,710010,553424,98802,73849,17146,0,86163,285610,0,0
1194,535824,2242002,4.184,0,538319,338957,600596,502914,93066,73634,16470,0,78052,538313,0,0
298,750450,2241988,2.988,0,31073,491197,828908,597551,100028,75331,16802,0,101104,31067,0,0
473,530678,2241976,4.225,0,561607,332276,592002,496452,93979,72746,16502,0,76418,561601,0,0
672,682000,2241976,3.287,0,164239,444067,727152,565284,97981,74509,16470,0,94027,222486,0,0
155,673690,2241966,3.328,0,244785,457730,717128,548057,98766,74417,16502,0,84587,244779,0,0
1113,574127,2241962,3.905,0,454463,368127,636780,516025,95613,74671,16470,0,79819,454457,0,0
118,716418,2241952,3.129,0,97209,459708,804384,587121,103034,76559,16470,0,97473,97203,0,0
1232,567157,2241950,3.953,0,450695,358279,639352,522853,97839,73206,16470,0,83262,450689,0,0
1221,674861,2241942,3.322,0,130565,448766,747098,609528,119193,75820,16470,0,94508,130559,0,0
1509,594954,2241938,3.768,0,462963,409221,682299,466671,73423,56974,17846,0,72547,462957,0,0
878,585267,2241930,3.831,0,400437,384310,661189,527870,96188,72839,16470,0,82633,400431,0,0
1478,575543,2241928,3.895,0,453393,397166,635233,488860,99661,75277,17842,0,74502,453387,0,0
1266,636696,2241920,3.521,0,262251,427787,724207,552996,97285,74420,16470,0,86510,262245,0,0
98,601208,2241918,3.729,0,361661,397129,679735,535181,94754,73965,16502,0,82997,361655,0,0
478,674190,2241914,3.325,0,167815,432065,783385,574013,99460,75164,16470,0,93548,167809,0,0
930,530321,2241914,4.227,0,637001,344696,591321,449388,74731,57404,16470,0,70909,636995,0,0
386,634273,2241902,3.535,0,277495,403642,729797,549930,103139,73956,17726,0,86223,277489,0,0
865,630540,2241888,3.556,0,269195,405917,714383,569411,102213,72841,16470,0,91464,269189,0,0
1536,704907,2241862,3.180,0,74403,469769,785552,610962,113224,74255,16470,0,97233,74397,0,0
1018,695478,2241860,3.223,0,131593,453084,791577,579130,98648,74795,16470,0,96569,131587,0,0
