region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1501,1127039,3361876,2.983,0,731591,921770,810074,612676,89766,81539,16470,0,97996,731585,0,0
1131,985498,3361872,3.411,0,905605,581012,1012469,596885,92376,61164,16470,0,95897,905599,0,0
1018,830694,3361862,4.047,0,1043209,565043,844188,608548,99186,79539,16470,0,105685,1043203,0,0
287,1078441,3361858,3.117,0,638077,653991,1099924,658389,110157,79952,16470,0,104904,638071,0,0
613,1087952,3361858,3.090,0,617881,657844,1105530,666317,110821,81101,16470,0,105900,617875,0,0
189,829321,3361854,4.054,0,803611,542773,903156,658140,109185,79763,16470,0,108767,943600,0,0
416,1110300,3361840,3.028,0,567437,672934,1135835,668541,113158,79956,16470,0,107515,567431,0,0
838,755360,3361840,4.451,0,938817,504847,862426,655132,103316,79233,16470,0,107419,1032997,0,0
160,1071212,3361834,3.138,0,720463,643522,1055711,634644,109642,79604,16470,0,101784,720457,0,0
206,939148,3361826,3.580,0,807989,684110,901601,658895,97846,82090,16502,0,110933,809849,0,0
303,926585,3361826,3.628,0,776561,667200,929135,668303,109475,80300,16658,0,112244,778511,0,0
516,1120481,3361822,3.000,0,487879,671784,1180750,682852,126499,85384,16470,0,110210,487873,0,0
572,1206778,3361812,2.786,0,314213,724365,1213312,760385,126251,80730,16470,0,126092,314207,0,0
116,1178278,3361810,2.853,0,450307,731021,1166268,690291,114728,81126,16470,0,111605,450301,0,0
944,1128606,3361808,2.979,0,457871,669332,1170278,721998,130469,81367,16470,0,114029,457865,0,0
444,1099455,3361806,3.058,0,648825,663680,1085792,649512,111255,80675,16470,0,105603,648819,0,0
1175,1087895,3361800,3.090,0,538239,640573,1162137,681125,127090,85291,16470,0,110881,538233,0,0
558,1441809,3361798,2.332,0,51035,981909,1242673,745965,117633,85928,16470,0,120191,51029,0,0
11,876040,3361792,3.837,0,694931,609153,960497,718395,155309,93130,16470,0,111754,697084,0,0
195,855963,3361776,3.927,0,1011431,622212,834755,600638,92396,81663,16470,0,100243,1013399,0,0
330,1193028,3361772,2.818,0,330777,724031,1228445,736862,122366,80319,16470,0,120259,333020,0,0
915,1052094,3361772,3.195,0,714687,623415,1066897,644999,110720,79440,16470,0,105150,714681,0,0
297,691519,3361764,4.861,0,1033443,473389,796644,624762,101846,77685,16470,0,97558,1173410,0,0
459,1220018,3361764,2.756,0,273177,730204,1197823,726204,123866,80375,16470,0,119057,367765,0,0
793,760290,3361752,4.422,0,1105819,518494,809683,625605,105544,79580,16470,0,100563,1105813,0,0
1029,1057387,3361744,3.179,0,721017,632834,1062357,637531,108576,80992,16470,0,101973,721011,0,0
1450,1084282,3361744,3.100,0,519289,644094,1159046,693486,135047,82076,19602,0,109110,519283,0,0
1302,1130707,3361734,2.973,0,549327,671698,1126896,686310,115250,82789,16470,0,113000,549321,0,0
1421,981515,3361720,3.425,0,812077,575559,1074439,606969,115631,63967,19602,0,93482,812071,0,0
522,686705,3361716,4.895,0,1090301,473888,789100,617563,106477,77826,16470,0,96405,1183987,0,0
67,744802,3361712,4.514,0,1103105,501274,811360,640717,100752,77105,16470,0,110935,1103099,0,0
166,893771,3361708,3.761,0,478915,602489,956983,707951,125198,80615,16470,0,111678,760324,0,0
16,1347774,3361706,2.494,0,123095,874975,1249997,736365,148508,94301,16470,0,118001,123089,0,0
89,786296,3361698,4.275,0,1042519,532757,791190,607842,100799,79613,16470,0,99280,1133747,0,0
146,1028214,3361694,3.269,0,755137,604423,1056703,639153,106710,79561,16470,0,103543,755131,0,0
9,922533,3361684,3.644,0,716541,668150,870120,677589,127128,87495,16470,0,105724,809008,0,0
868,873959,3361678,3.846,0,790467,594487,909035,662947,107428,80722,16470,0,108758,881831,0,0
374,1099517,3361652,3.057,0,559719,660199,1135248,684297,116818,79828,16470,0,109079,559713,0,0
131,1134356,3361648,2.963,0,473009,685139,1157161,709219,123792,80073,16470,0,116791,473003,0,0
1409,762676,3361642,4.408,0,1058151,471381,925958,609516,108495,61986,19602,0,106559,1058145,0,0
1043,1027969,3361622,3.270,0,757507,609853,1046255,638763,109352,80091,16502,0,100981,759825,0,0
174,1168016,3361620,2.878,0,540647,730749,1106766,668625,109515,80042,16470,0,108812,540641,0,0
550,820617,3361618,4.096,0,754423,589303,855472,667993,107774,81166,16470,0,103275,940165,0,0
553,796357,3361614,4.221,0,1094577,571905,804665,603269,90987,80913,16470,0,98834,1094571,0,0
673,1150054,3361610,2.923,0,458147,692284,1150197,729924,113641,79442,16502,0,121479,458141,0,0
1536,1102378,3361610,3.049,0,214277,812239,970914,746486,122636,83129,16470,0,115714,494022,0,0
717,1045783,3361608,3.214,0,787015,622370,1028187,618449,109304,79466,16470,0,100353,787009,0,0
745,998170,3361608,3.368,0,528379,587161,1019851,631909,108651,79422,16470,0,100468,817676,0,0
726,863323,3361602,3.894,0,870429,571881,899495,661241,98507,78130,16470,0,115026,920852,0,0
1273,1014499,3361598,3.314,0,846817,605634,1023575,586910,109040,80835,16470,0,92323,846811,0,0
1086,1007211,3361596,3.338,0,878135,599797,1022067,592334,93585,63478,16470,0,95736,878129,0,0
1544,1028828,3361590,3.267,0,804971,608482,1019307,623745,108803,79611,16470,0,100207,804965,0,0
560,704196,3361572,4.774,0,776723,470211,783377,611897,104150,78621,16470,0,94006,1202840,0,0
688,1108285,3361566,3.033,0,563577,662300,1146132,670665,109564,81319,16470,0,111545,563571,0,0
1004,1041148,3361548,3.229,0,773447,618919,1033415,629729,109278,79700,16470,0,100596,773441,0,0
1052,844600,3361542,3.980,0,796853,624300,835861,657858,105915,80934,16470,0,101365,938839,0,0
81,706945,3361524,4.755,0,999441,470986,801855,644039,103876,77364,16470,0,103210,1143724,0,0
359,1103565,3361522,3.046,0,566591,662110,1130734,678545,118187,79892,16470,0,108999,566585,0,0
582,966134,3361514,3.479,0,719397,692081,910124,677022,105406,80497,16470,0,109035,770879,0,0
345,1115748,3361512,3.013,0,547507,677374,1142505,677956,111190,79946,16470,0,108570,547501,0,0
933,836884,3361512,4.017,0,806295,473606,986221,703462,122872,79983,19644,0,121370,854354,0,0
213,986995,3361500,3.406,0,922507,778236,786197,590425,89635,82427,16470,0,95609,922501,0,0
974,1029626,3361496,3.265,0,745655,605950,1057912,644491,107687,79383,16470,0,103954,745649,0,0
830,1032003,3361490,3.257,0,752763,610085,1051802,637915,110252,80104,16470,0,102105,752757,0,0
308,1065485,3361486,3.155,0,319911,708011,1090948,787915,133949,82323,16470,0,125632,416238,0,0
684,679212,3361482,4.949,0,948521,465030,790992,656946,121429,77609,16470,0,98547,1134459,0,0
473,1103759,3361478,3.045,0,631407,670042,1085524,658700,113210,81443,16470,0,104688,631401,0,0
185,722082,3361468,4.655,0,1087697,491118,779593,611023,104244,77230,16470,0,99934,1181856,0,0
1257,1056397,3361452,3.182,0,842249,837805,782421,610815,89889,80423,16470,0,101386,842243,0,0
716,767430,3361446,4.380,0,1015421,527918,796987,630206,98665,77639,16470,0,103950,1109611,0,0
603,884300,3361444,3.801,0,312419,633457,956055,745964,130675,81694,16470,0,111623,685506,0,0
210,869357,3361440,3.867,0,823563,631421,858205,642916,109595,82348,16470,0,101815,918670,0,0
243,1097139,3361428,3.064,0,615535,672014,1100161,659409,110755,81120,16470,0,105970,615529,0,0
862,979395,3361424,3.432,0,932085,766317,787406,587051,91058,82935,16470,0,96252,933935,0,0
1494,1132767,3361422,2.967,0,696339,926944,828768,620575,92328,81411,16650,0,98413,696333,0,0
464,901784,3361400,3.728,0,855081,695211,814906,608800,101502,82404,16470,0,93412,948695,0,0
197,779446,3361396,4.313,0,1084369,537328,837509,606566,93830,79970,16470,0,103420,1086303,0,0
1516,1082249,3361390,3.106,0,648119,646556,1085326,664652,110505,79593,16470,0,110175,648113,0,0
1219,867153,3361388,3.876,0,799005,651326,754953,586046,90452,79120,16470,0,97143,1085878,0,0
1362,1019663,3361386,3.297,0,748253,593519,1062335,645701,111874,79582,16502,0,103626,748247,0,0
192,785418,3361380,4.280,0,490389,508223,831819,667662,114366,79172,16470,0,99540,1044128,0,0
274,979412,3361372,3.432,0,348961,678244,987839,725115,129194,83312,16470,0,111992,629206,0,0
1026,870539,3361370,3.861,0,940081,615513,840636,624536,92774,80042,16470,0,101587,989812,0,0
703,1056361,3361366,3.182,0,696601,635508,1072347,648447,108059,79453,16470,0,104487,696595,0,0
863,948582,3361348,3.544,0,565521,727504,882389,686593,110115,82751,16470,0,102896,752630,0,0
1491,1125418,3361336,2.987,0,311431,902495,898965,697612,111838,82809,16670,0,104235,546712,0,0
91,852957,3361332,3.941,0,637633,616677,861892,665244,107942,81469,16470,0,102609,909029,0,0
409,786192,3361332,4.275,0,960169,528301,869444,683799,109962,76439,16470,0,116754,960163,0,0
1024,779526,3361310,4.312,0,1048623,582279,756810,589951,98710,80444,16470,0,89691,1146955,0,0
556,795999,3361304,4.223,0,1099065,572971,794902,605081,93889,80275,16470,0,98657,1099059,0,0
989,1126138,3361298,2.985,0,404939,674932,1135812,721044,115777,79014,16470,0,119223,499026,0,0
1146,1048159,3361298,3.207,0,722067,621277,1062712,647226,107375,79383,16470,0,104794,722061,0,0
242,770370,3361292,4.363,0,1101829,531771,786102,633423,105908,77662,16470,0,108133,1101823,0,0
59,1113995,3361288,3.017,0,605599,667390,1104874,665218,108594,80234,16470,0,112915,605593,0,0
74,995845,3361284,3.375,0,829667,580797,1023834,623251,108249,79009,16470,0,100013,829661,0,0
1237,819049,3361254,4.104,0,690993,561526,816771,611744,92790,79296,16470,0,101235,1081422,0,0
1461,842604,3361244,3.989,0,789811,568292,931731,735349,116281,76891,16470,0,126425,789805,0,0
1014,762052,3361240,4.411,0,1091711,509939,779748,593578,104140,78766,16470,0,95704,1182895,0,0
1332,1041446,3361232,3.227,0,741287,607231,1061512,641362,108334,79083,16470,0,105959,741281,0,0
1296,750807,3361226,4.477,0,605195,515311,817116,688901,116414,81046,16470,0,102725,1023243,0,0
1459,729082,3361222,4.610,0,1066097,489633,833753,649544,117816,78957,19602,0,105826,1066091,0,0
791,794222,3361220,4.232,0,1060151,545716,816511,631776,106888,79623,16470,0,104091,1060145,0,0
1317,1034092,3361218,3.250,0,737411,606620,1067571,640634,108660,80570,16470,0,103288,737405,0,0
658,1102434,3361204,3.049,0,576035,650637,1143726,671265,110435,80503,16470,0,112139,576029,0,0
15,856054,3361202,3.926,0,977295,633189,822756,602231,123556,91283,16470,0,94428,977289,0,0
