frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,gNdsFighterNaturalMotionFigatreeAttachCount,gNdsShieldAnimJointInstallCalls,gNdsR2FtAnimParseStepped,gNdsR2FtAnimParseEarlyOut,gNdsR2FtAnimRecipMisses,gNdsR2AnimCacheBytes,gNdsR2RelocAliasVisits,gNdsFTComputerStatusChangeCount,WRAPFIX
438,1117248,291200,175680,4288,1408,1024,322048,94912,226688,206848,910400,4352,960,316672,75712,1472,2112,186368,56768,832,909376,1130,0,6831,24891,0,110304,1300,0,0
439,1117248,292480,176064,4224,1472,1024,273856,95680,272512,253120,864192,4992,1024,268352,28736,1408,2048,175104,57088,576,863168,1130,0,6840,24952,0,110304,1300,0,0
440,1117312,292096,176064,4288,1472,1024,273408,94528,274752,254848,862784,4480,960,268160,28032,1280,2048,127296,56704,448,861760,1130,0,6847,25015,0,110304,1300,0,0
441,1117632,289280,174528,4224,1472,1088,275840,95616,275648,256000,861696,4544,896,270592,28672,1472,2048,127168,56448,704,860608,1130,0,6857,25075,0,110304,1300,0,0
442,1117696,292160,174720,4224,1408,960,278592,95232,270080,250624,866752,4608,1024,273280,28864,1280,2176,129664,55872,640,865792,1130,0,6868,25134,0,110304,1300,0,0
443,1117376,290176,177472,4288,1472,1088,272640,94848,275456,256064,861376,4608,896,267456,28288,1280,2112,130752,57280,576,860288,1130,0,6875,25197,0,110304,1300,0,0
444,1117440,287232,176192,4288,2624,419584,592384,117440,78208,58240,1619712,167936,1024,586880,29824,1408,2112,127808,55872,896,1200128,1130,0,6884,25258,0,110304,1300,0,0
445,1677952,290368,175040,4352,2752,1088,451648,106560,85568,65920,1051456,170688,1152,446080,26048,1344,2240,226368,100160,640,1050368,1130,0,6891,25321,0,110304,1300,0,0
446,1117376,288896,178816,4288,2496,1088,595392,224896,381632,362240,1315264,89920,896,589952,49920,1408,2304,126272,55488,640,1314176,1150,0,6920,25405,0,110304,1300,0,0
447,1677504,288768,178368,4288,2688,1024,504896,193984,503936,484416,1193536,175616,1024,499264,9856,1536,2240,339520,65408,704,1192512,1170,0,6974,25447,0,110304,1300,0,0
448,1677952,289472,174720,4352,2560,1088,447680,184832,572864,553280,1124288,183424,1024,442176,832,1664,2176,170304,56768,576,1123200,1170,0,6976,25521,0,110304,1300,0,0
449,1677568,286848,178560,4352,2688,1024,509376,329472,365888,346048,1332160,97088,960,503872,832,1600,2240,90560,56448,704,1331136,1190,0,7005,25588,0,110304,1300,0,0
450,1678208,287808,178176,4288,130304,1024,441344,324800,309376,289856,1387264,164352,1088,435840,768,1408,135168,96832,56192,768,1386240,1190,0,7029,25640,0,110304,1300,0,0
451,1677120,285632,175168,4288,2752,1024,441088,323584,444928,424960,1253504,164480,960,435584,896,1472,2176,103616,55616,704,1252480,1190,0,7053,25692,0,110304,1300,0,0
452,1678464,286784,175808,4288,4928,1088,498368,324224,381760,362816,1314432,163648,960,492928,832,1600,2368,106048,56704,768,1313344,1210,0,7096,25745,0,110304,1300,0,0
453,1677248,286528,175552,4224,3264,1088,434240,270784,502336,482880,1195136,165632,1024,428992,832,1536,2112,154112,57344,576,1194048,1210,0,7104,25813,0,110304,1300,0,0
454,1678016,285568,175872,4288,1472,1024,449024,270336,490176,470336,1207424,165312,1024,443904,832,1536,2112,96640,56576,768,1206400,1210,0,7135,25858,0,110304,1300,0,0
455,1677760,294528,176000,4288,2688,483072,1050688,193088,33984,13696,2224640,43200,1088,1045312,896,1600,1984,113600,56448,640,1741568,1227,0,7164,25921,0,112000,1385,0,0
456,2238336,292288,175936,4224,2688,1088,290112,197824,153280,133504,983936,4480,1088,284736,1280,1472,569536,72000,54656,640,982848,1247,0,7191,25954,0,112000,1385,0,0
457,1117440,291520,175424,4288,2752,1024,241984,193728,206912,187200,930432,4736,960,236544,8832,1408,2112,133568,55104,768,929408,1247,0,7192,25993,0,112000,1385,0,0
458,1117632,291456,173760,4224,2688,1024,226944,197184,219968,200448,916800,4928,960,221568,1408,1472,1920,75648,54016,640,915776,1247,0,7196,26029,0,112000,1385,0,0
459,1117248,292992,175808,4352,2688,1088,306944,202368,131456,111488,1006208,4928,1024,301504,50432,1472,2048,72512,54336,448,1005120,1247,0,7212,26070,0,112000,1385,0,0
