pc,whole_instructions,whole_total_cycles,whole_issue,whole_icache_fill,whole_dcache_fill,whole_write_buffer,whole_bus_contention,whole_dma_hold,whole_interlock,whole_halt_wait,sitr25_instructions,sitr25_total_cycles,sitr25_issue,sitr25_icache_fill,sitr25_dcache_fill,sitr25_write_buffer,sitr25_bus_contention,sitr25_dma_hold,sitr25_interlock,sitr25_halt_wait,event288_instructions,event288_total_cycles,event288_issue,event288_icache_fill,event288_dcache_fill,event288_write_buffer,event288_bus_contention,event288_dma_hold,event288_interlock,event288_halt_wait,quiet_instructions,quiet_total_cycles,quiet_issue,quiet_icache_fill,quiet_dcache_fill,quiet_write_buffer,quiet_bus_contention,quiet_dma_hold,quiet_interlock,quiet_halt_wait,card_instructions,card_total_cycles,card_issue,card_icache_fill,card_dcache_fill,card_write_buffer,card_bus_contention,card_dma_hold,card_interlock,card_halt_wait
0x02062f08,1600,50561,-9456,1576,55965,2476,0,0,0,0,25,819,-150,25,892,52,0,0,0,0,288,8915,-1692,282,9901,424,0,0,0,0,772,24574,-4560,760,27150,1224,0,0,0,0,7,210,-42,7,233,12,0,0,0,0
0x020af99c,1,63,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02057760,99,5109,-582,295,5308,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1351,-150,75,1406,20,0,0,0,0,64,3272,-372,190,3398,56,0,0,0,0,1,39,-6,3,42,0,0,0,0,0
0x0202e9bc,43200,56361,0,56361,0,0,0,0,0,0,675,870,0,870,0,0,0,0,0,0,7776,10155,0,10155,0,0,0,0,0,0,20844,27060,0,27060,0,0,0,0,0,0,189,240,0,240,0,0,0,0,0,0
0x0208a17a,24,1292,24,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1292,24,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,1,46,0,0,0,0,0,0
0x020b481c,13,401,145,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,401,145,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020abe08,29,713,0,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,190,0,190,0,0,0,0,0,0,20,523,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020b4392,21,743,21,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,743,21,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020c32a8,308,1492,-249,44,1589,108,0,0,0,0,42,123,-18,3,134,4,0,0,0,0,155,736,-153,28,817,44,0,0,0,0,65,249,-24,4,245,24,0,0,0,0,24,24,0,0,24,0,0,0,0,0
0x02034692,3116,51556,-7790,0,59254,92,0,0,0,0,50,825,-125,0,950,0,0,0,0,0,576,9532,-1440,0,10948,24,0,0,0,0,1462,24163,-3655,0,27790,28,0,0,0,0,14,231,-35,0,266,0,0,0,0,0
