region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
1,1303963,3361834,2.578,0,57875
3,938138,3361734,3.583,0,937991
4,910531,3360650,3.691,0,609727
2,966448,3360490,3.477,0,870165
5,666850,2240990,3.361,0,263751
0,6,36,6.000,1,23
