pc,whole_instructions,m80prof_instructions,m80gate_instructions
0x02002138,6232,320,320
0x02002170,6232,320,320
0x0200217e,6232,320,320
0x020021c6,5972,314,308
0x020021e4,18,0,1
0x02002206,18,0,1
0x0200220e,18,0,1
0x02002218,18,0,1
0x0200223c,18,0,1
0x02002244,18,0,1
0x0200225a,18,0,1
0x0200226c,18,0,1
0x02002278,5972,314,308
0x02002282,5972,314,308
0x0200228e,5972,314,308
0x020022ac,6232,320,320
0x020022d4,6232,320,320
0x020022e0,6232,320,320
0x020022ec,6232,320,320
0x020022fa,6232,320,320
0x0200230c,6232,320,320
0x02002324,54,0,4
0x02002330,54,0,4
0x02002372,6232,320,320
0x020023ca,137,31,65
0x02002454,839,71,177
0x0200245c,5972,314,308
0x020024ae,32,0,2
0x020024b6,32,0,2
0x02002504,5204,279,291
0x02002510,3009,136,140
0x02002522,3009,136,140
0x0200252a,3009,136,140
0x0200253c,750,35,16
0x0200254a,750,35,16
0x02002550,750,35,16
0x02002558,750,35,16
0x02002560,750,35,16
0x02002566,750,35,16
0x0200256e,750,35,16
0x0200257a,750,35,16
0x02002580,750,35,16
0x0200258c,741,35,16
0x02002592,741,35,16
0x02003120,81051,4333,4373
0x02003388,75200,3760,3760
0x02003588,43200,2160,2160
0x02003730,129600,6480,6480
0x02003760,48000,2400,2400
0x02003778,27200,1360,1360
0x02005fc8,3116,160,160
0x02006040,6813,378,427
0x02006280,3586,228,123
0x0200628c,3586,228,123
0x02006294,3586,228,123
0x02006488,4420,300,153
0x020064c0,1770,118,82
0x020064d4,1770,118,82
0x020064e8,1770,118,82
0x020064fc,6464,426,209
0x0200650c,6464,426,209
0x0200651c,6464,426,209
0x02006570,1792,119,52
0x02006598,256,16,8
0x02006780,3469,256,250
0x02006790,1946,925,165
0x020067a2,1946,925,165
0x020067b4,1946,925,165
0x020067c8,152,34,38
0x020067fc,152,34,38
0x02006842,152,34,38
0x02006d18,3203,160,160
0x02006d1a,3200,160,160
0x02006d1e,3200,160,160
0x02006d90,1600,80,80
0x02006d94,1,1,0
0x02006dd0,240,240,0
0x02006ff4,1,1,0
0x0200705a,1,1,0
0x0200706a,1,1,0
0x020071b0,192,192,0
0x02007564,1600,80,80
0x020078c8,1600,80,80
0x02007a46,1600,80,80
0x02007aaa,1600,80,80
0x02008044,1600,80,80
0x0200808c,1600,80,80
0x02008092,1600,80,80
0x0200809a,1600,80,80
0x020080a2,1600,80,80
0x020080aa,1600,80,80
0x020080b2,1600,80,80
0x020080ba,1600,80,80
0x020080c2,1600,80,80
0x020080ca,1600,80,80
0x020080d2,1600,80,80
0x020080da,1600,80,80
0x020080e2,1600,80,80
0x020080ea,1600,80,80
0x020080f2,1600,80,80
0x020080fa,1600,80,80
0x02008102,1600,80,80
0x0200810a,1600,80,80
0x02008112,1600,80,80
0x0200811a,1600,80,80
0x02008122,1600,80,80
0x0200812a,1600,80,80
0x02008132,1600,80,80
0x020081c8,1600,80,80
0x020081ec,1600,80,80
0x02008240,112,60,5
0x02008262,112,60,5
0x020082a6,112,60,5
0x020082ae,112,60,5
0x020082b6,112,60,5
0x020082be,112,60,5
0x020082e2,112,60,5
0x020082f0,112,60,5
0x02008306,112,60,5
0x0200833a,2240,1200,100
0x020083ba,11200,6000,500
0x02008536,1557,79,80
0x020085da,76,17,19
0x020085ec,76,17,19
0x02008604,1008,540,45
0x0200862c,112,60,5
0x0200863e,112,60,5
0x0200864c,112,60,5
0x02008668,112,60,5
0x02008684,110,60,5
0x0200868e,110,60,5
0x02008698,110,60,5
0x020086a2,110,60,5
0x020086b0,110,60,5
0x020086be,76,17,19
0x020086c8,76,17,19
0x020086d4,76,17,19
0x02008830,3200,160,160
0x0200883c,1601,80,80
0x02008848,1600,80,80
0x02008850,1600,80,80
0x02008860,1601,80,80
0x02008872,1600,80,80
0x0200887c,1600,80,80
0x020088b8,1268,63,68
0x020088fa,1600,80,80
0x020088fe,1600,80,80
0x0200893c,1600,80,80
0x02008948,1600,80,80
0x02008a30,4800,240,240
0x02008f94,43,1,0
0x0200992c,211,9,11
0x02009ae8,3201,160,160
0x0200aa24,1600,80,80
0x0200ad2c,43,1,0
0x0200ad76,43,1,0
0x0200b5d0,1600,80,80
0x0200b65c,50,14,26
0x0200b660,141,31,43
0x0200b6e4,115,28,39
0x0200b70c,22,1,1
0x0200b71e,2,2,2
0x0200b72c,2,0,1
0x0200b76c,1198,158,227
0x0200b7a0,134,24,36
0x0200b7a2,134,24,36
0x0200b7e4,7,7,7
0x0200b7f4,7,7,7
0x0200b812,7,7,7
0x0200b850,7,7,7
0x0200b860,7,7,7
0x0200badc,7,7,7
0x0200bb02,7,7,7
0x0200bb0e,7,7,7
0x0200bb4a,7,7,7
0x0200bb6c,7,7,7
0x0200bb9a,7,7,7
0x0200bbaa,7,7,7
0x0200bc0a,7,7,7
0x0200c728,78,5,5
0x0200c746,9,0,0
0x0200c774,78,5,5
0x0200c7b0,156,10,10
0x0200c7c0,156,10,10
0x0200c7f8,78,5,5
0x0200c838,78,5,5
0x0200c86e,1,0,0
0x0200c8ce,78,5,5
0x0200c8da,78,5,5
0x0200c980,78,8,4
0x0200c99c,78,8,4
0x0200ca38,78,8,4
0x0200ca92,78,8,4
0x0200cb02,78,8,4
0x0200cb28,78,8,4
0x0200d44c,3200,160,160
0x0200d45c,301,24,28
0x0200d478,300,24,28
0x0200d498,301,24,28
0x0200d4a0,301,24,28
0x0200d4bc,3200,160,160
0x0200d4fe,3200,160,160
0x0200d54e,78,5,5
0x0200d59e,78,5,5
0x0200d5e8,164,12,32
0x0200d694,146,9,23
0x0200d6b4,2352,162,220
0x0200d6c2,2352,162,220
0x0200d796,53,3,2
0x0200d80c,450,22,29
0x0200d81a,450,22,29
0x0200d86c,132,3,11
0x0200de00,3200,160,160
0x0200de0a,2228,125,148
0x0200de14,1,0,0
0x0200de3e,2,0,0
0x0200de54,12,6,12
0x0200de82,12,6,12
0x0200dea8,12,6,12
0x0200debc,164,44,86
0x0200dee2,124,37,72
0x0200e04e,128,39,75
0x0200e06c,128,39,75
0x0200e092,128,39,75
0x0200e0b6,3,0,1
0x0200e0d0,3,0,1
0x0200e0de,164,44,86
0x0200e114,164,44,86
0x0200e166,18,3,9
0x0200e18a,18,3,9
0x0200e1a4,164,44,86
0x0200e1f4,164,44,86
0x0200e202,164,44,86
0x0200e6e0,6892,667,1598
0x0200e8e8,111,0,12
0x0200eb58,420,40,55
0x0200ec50,22065,1149,1184
0x0200ed84,532,25,28
0x0200ee08,76,4,8
0x0200ee68,364,17,23
0x0200f09c,4,0,4
0x0200f0fc,76,4,8
0x0200f1fc,38410,1920,1929
0x0200f450,120,0,0
0x0200f564,462,0,0
0x0200f604,114,0,0
0x0200f608,48904,2560,2560
0x0200fa68,3872,255,334
0x0200fa84,357,24,19
0x0200fc58,80,4,12
0x0200fdcc,156,6,3
0x0200fe48,156,6,3
0x0200fe6c,156,6,3
0x0200fe90,156,6,3
0x0200fea0,156,6,3
0x0200feb0,156,6,3
0x0200febc,156,6,3
0x0200fecc,156,6,3
0x0200fed8,156,6,3
0x0200fedc,156,6,3
0x0200fee8,156,6,3
0x0200ff08,156,6,3
0x0200ff10,156,6,3
0x0200ff14,156,6,3
0x0200ff24,156,6,3
0x0200ff2c,156,6,3
0x0200ff30,156,6,3
0x0200ff40,156,6,3
0x0200ff48,156,6,3
0x0200ff4c,156,6,3
0x0200ff60,10,0,10
0x0200ffac,60801,3040,3040
0x020100cc,556,44,144
0x02010184,656,33,44
0x020102ec,1408,66,74
0x0201037c,168,10,16
0x02010418,3,0,3
0x02010878,1,0,0
0x020108c0,1,0,0
0x020108f8,14008,727,734
0x02010930,14008,727,734
0x02010ca0,2236,146,276
0x02010dc0,436,18,18
0x02010e78,672,32,41
0x02010eb0,156,6,3
0x02010ecc,512,26,34
0x02010ee8,344,16,18
0x02010f00,156,6,3
0x02010f0c,48905,2560,2560
0x02011110,104,7,18
0x02011130,4,0,4
0x02011198,100,7,14
0x02011264,361,17,19
0x0201163c,1,0,1
0x02011748,1600,80,80
0x02011838,416,19,24
0x02011854,412,19,20
0x0201186c,276,12,11
0x02011880,276,12,11
0x02011894,276,12,11
0x020118b4,4,0,4
0x020118f4,215,15,9
0x02011960,416,19,24
0x02011990,256,13,17
0x020119b4,120,6,8
0x020119d0,156,6,3
0x02011b30,6567,336,348
0x02011b6c,287,17,11
0x02011b94,14400,720,720
0x02011cc4,436,19,44
0x02011d28,84,5,8
0x02011d44,84,5,8
0x02011e10,416,19,24
0x02011e68,84,5,8
0x02011e80,84,5,8
0x02011f84,3,0,3
0x02011fbc,3,0,3
0x02012064,3,0,3
0x020120dc,3,0,3
0x0201211c,4802,240,240
0x020121c4,96,12,24
