pc,whole_instructions,m80prof_instructions,m80gate_instructions
0x02033c96,3116,160,160
0x02033ca0,3116,160,160
0x02033cae,3116,160,160
0x02033cb6,3116,160,160
0x02033cc0,3116,160,160
0x02033ccc,3116,160,160
0x02033cd4,3116,160,160
0x02033ce0,3116,160,160
0x02033ce8,3116,160,160
0x02033cec,3116,160,160
0x02033cf6,3116,160,160
0x02033d00,3116,160,160
0x02033d0a,3116,160,160
0x02033d14,3116,160,160
0x02033d2a,3116,160,160
0x02033d34,3116,160,160
0x02033d3c,3116,160,160
0x02033d46,3116,160,160
0x02033d4e,3116,160,160
0x02033d6a,3116,160,160
0x02033d74,3116,160,160
0x02033d7c,3116,160,160
0x02033d86,3116,160,160
0x02033d8e,3116,160,160
0x02033da4,3116,160,160
0x02033dae,3116,160,160
0x02033db6,3116,160,160
0x02033dc0,3116,160,160
0x02033dc8,3116,160,160
0x0203465c,3116,160,160
0x02034670,3116,160,160
0x02034676,3116,160,160
0x0203467a,3116,160,160
0x0203468e,3116,160,160
0x020346ae,3116,160,160
0x020346be,3116,160,160
0x020346c6,3116,160,160
0x020346cc,3116,160,160
0x020346d6,3116,160,160
0x020346e0,3116,160,160
0x020346ea,3116,160,160
0x020346f4,3116,160,160
0x020346fa,3116,160,160
0x0203470e,3116,160,160
0x02034714,3116,160,160
0x0203471a,3116,160,160
0x02034720,3116,160,160
0x02034958,2202,163,214
0x02034976,8808,652,856
0x02034982,3182,238,311
0x02034998,8808,652,856
0x020349a4,2506,182,234
0x020349ba,8808,652,856
0x020349c6,2878,219,291
0x02034a20,167,15,25
0x02034a5c,167,15,25
0x02034a60,167,15,25
0x02034a6c,167,15,25
0x02034a70,167,15,25
0x02034a8e,167,15,25
0x02034a92,167,15,25
0x02034c84,2202,163,214
0x02034c9c,2202,163,214
0x02034ca4,2202,163,214
0x02034cac,2202,163,214
0x02034cb4,2202,163,214
0x02034cbc,2202,163,214
0x02034cc4,2202,163,214
0x02034cce,2202,163,214
0x02034cd8,2202,163,214
0x02034cec,2202,163,214
0x02034cf4,2202,163,214
0x02034cfe,2202,163,214
0x02034d06,2202,163,214
0x02034d10,2202,163,214
0x02034d1a,2202,163,214
0x02034d22,2202,163,214
0x02034d2c,2202,163,214
0x02034d36,2202,163,214
0x02034d3e,2202,163,214
0x02034d48,2202,163,214
0x02034d50,2202,163,214
0x02034d5a,2202,163,214
0x02034d64,2202,163,214
0x02034d6c,2202,163,214
0x02034d76,2202,163,214
0x02034f3c,185,7,6
0x02034f56,185,7,6
0x02034f5a,185,7,6
0x02034f90,185,7,6
0x02034f94,185,7,6
0x02034fc4,185,7,6
0x02034fc8,185,7,6
0x020350ba,185,7,6
0x020350be,185,7,6
0x020350ca,185,7,6
0x020350ce,185,7,6
0x020350ec,185,7,6
0x020350f0,185,7,6
0x02035118,2202,163,214
0x02035128,2202,163,214
0x0203513a,2202,163,214
0x02035140,5597,331,250
0x0203515a,5597,331,250
0x0203515e,5597,331,250
0x02035194,5597,331,250
0x02035198,5597,331,250
0x020351d0,5597,331,250
0x020351d4,5597,331,250
0x02035202,5597,331,250
0x02035206,5597,331,250
0x02035212,5597,331,250
0x02035216,5597,331,250
0x02035222,5597,331,250
0x02035226,5598,331,250
0x0203532a,5597,331,250
0x0203532e,5597,331,250
0x0203533a,5597,331,250
0x0203533e,5597,331,250
0x0203535c,5598,332,250
0x02035360,5597,331,250
0x020356e8,1558,80,80
0x02035724,99712,5120,5120
0x0203572c,99712,5120,5120
0x02035762,1558,80,80
0x02036140,1601,80,80
0x02036358,134,24,36
0x02036458,8,0,5
0x02036540,8,0,5
0x0203657c,3341,191,203
0x02036604,266,18,28
0x02036654,40394,2038,2068
0x020366a8,32,5,9
0x0203675c,12800,640,640
0x020367a4,12800,640,640
0x020367f0,45713,2402,2403
0x020368d4,86667,4334,4335
0x020368f8,83471,4174,4175
0x0203690c,283873,17456,20624
0x02036950,43,0,0
0x02036f10,258,6,0
0x02036f78,1601,80,80
0x0203734c,232,8,96
0x02037754,116,4,48
0x0203775c,116,4,48
0x02037762,116,4,48
0x020379fc,50026,2502,2506
0x02037a28,50026,2502,2506
0x02037a6a,48777,2416,2414
0x02037a7c,48757,2413,2410
0x02037adc,1812,123,138
0x02037b12,1812,123,138
0x02037b1e,1812,123,138
0x02037b2c,1812,123,138
0x02037b3a,1812,123,138
0x02037b48,1812,123,138
0x02037da0,1600,80,80
0x02037da2,1600,80,80
0x02037db0,1600,80,80
0x02037dcc,1600,80,80
0x02037de6,1600,80,80
0x02037e3c,11,0,0
0x02037e3e,11,0,0
0x02037e44,283,10,2
0x02037e46,283,10,2
0x02037e4c,58,8,5
0x02037e4e,58,8,5
0x020380b8,44150,2212,2255
0x020380f6,4808,240,248
0x02038118,753,112,168
0x0203886c,548,78,127
0x020389a0,350,40,59
0x02038a14,1600,80,80
0x02038a72,1600,80,80
0x02038a7e,1600,80,80
0x02038a8c,1600,80,80
0x02038a98,1600,80,80
0x02038aac,1600,80,80
0x02038abc,1600,80,80
0x02038aca,1600,80,80
0x02038ad6,1600,80,80
0x02038ae8,1600,80,80
0x02038af2,1600,80,80
0x02038b00,1600,80,80
0x02038b08,1600,80,80
0x02038b0c,1600,80,80
0x02038b1a,1600,80,80
0x02038b22,1600,80,80
0x02038b26,1600,80,80
0x02038b3a,1600,80,80
0x02038c5c,1,1,0
0x02038c78,1,1,0
0x02038cb8,268,48,72
0x02038cfc,402,72,108
0x02038d66,139,22,36
0x02038de0,135256,6763,6791
0x02038e6c,109448,5472,5491
0x02038e72,109448,5472,5491
0x02039668,3200,160,160
0x020396aa,3200,160,160
0x02039b78,12764,704,723
0x02039eb8,350,40,59
0x02039f00,226,30,47
0x02039f14,134,24,36
0x02039f9a,134,24,36
0x02039fac,134,24,36
0x0203a080,7,7,7
0x0203a082,7,7,7
0x0203a11c,7,7,7
0x0203a120,7,7,7
0x0203a188,700,80,118
0x0203a1d0,322,48,80
0x0203a848,7,7,7
0x0203a85e,7,7,7
0x0203a96c,134,24,36
0x0203a978,134,24,36
0x0203acac,134,24,36
0x0203adb8,54414,3362,4292
0x0203adcc,54413,3362,4291
0x0203b1fc,3276,164,168
0x0203b240,3276,164,168
0x0203b250,3201,160,160
0x0203b2b6,3200,160,160
0x0203b2c4,62364,3663,4585
0x0203b2de,62364,3663,4585
0x0203b46c,1820,60,34
0x0203b478,1820,60,34
0x0203bbb0,141,31,43
0x0203bcec,141,31,43
0x0203bd42,14,14,14
0x0203c078,22134,1881,2407
0x0203c9bc,17781,1529,1942
0x0203c9fc,22110,1858,2407
0x0203caa8,3157,190,208
0x0203cad0,80,4,12
0x0203cad6,80,4,12
0x0203cae8,2816,464,633
0x0203caf4,2816,464,633
0x0203cb06,2816,464,633
0x0203ce58,108,4,40
0x0203ce66,108,4,40
0x0203d3f8,323,25,47
0x0203e288,134,24,36
0x0203e2ac,134,24,36
0x0203e2c8,134,24,36
0x0203e2ea,134,24,36
0x0203e970,134,24,36
0x0203ea3c,39611,2430,2420
0x0203ea70,39610,2430,2419
0x0203ec02,2,0,0
0x0203ec12,2,0,0
0x0203ec20,2,0,0
0x0203ec2e,2,0,0
0x0203ec6e,1,0,0
0x0203ec76,1,0,0
0x0203ed68,32053,2094,2179
0x0203ed8a,32053,2094,2179
0x0203ed9c,32053,2094,2179
0x0203eef8,30103,2022,2053
0x0203ef06,30103,2022,2053
0x0203ef12,30103,2022,2053
0x0203ef20,30103,2022,2053
0x0203ef2c,30103,2022,2053
0x0203ef36,30103,2022,2053
0x0203ef40,30103,2022,2053
0x0203ef48,30103,2022,2053
0x0203ef54,30103,2022,2053
0x0203ef60,30103,2022,2053
0x0203ef6a,30103,2022,2053
0x0203ef74,30103,2022,2053
0x0203ef80,30103,2022,2053
0x0203ef88,30103,2022,2053
0x0203ef8e,30103,2022,2053
0x0203ef96,30103,2022,2053
0x0203efa4,7321,534,496
0x0203efb0,9,0,3
0x0203efba,9,0,3
0x0203efc2,9,0,3
0x0203efc8,9,0,3
0x0203efd0,9,0,3
0x0203efde,6,0,3
0x0203f2f8,1600,80,80
0x0203f440,1600,80,80
0x0203f45a,1600,80,80
0x0203f464,1600,80,80
0x0203f604,80,4,12
0x020400d8,6433,325,329
0x02040100,6432,325,329
0x0204036a,3224,163,166
0x02040378,3224,163,166
0x020403a2,3224,163,166
0x020403b6,3224,163,166
0x020403bc,3224,163,166
0x020403c4,3224,163,166
0x020403cc,3224,163,166
0x020403d4,3224,163,166
0x020403dc,3224,163,166
0x020403e2,3224,163,166
0x020403ea,3224,163,166
0x020403ee,3224,163,166
0x02040438,3200,160,160
0x02040446,3200,160,160
0x02040474,3200,160,160
0x0204048a,3200,160,160
0x02040490,3200,160,160
0x02040498,3200,160,160
0x020404a0,3200,160,160
0x020404a8,3200,160,160
0x020404b0,3200,160,160
0x020404b6,3200,160,160
0x020404be,3200,160,160
0x020404c2,3200,160,160
0x020406c6,3200,160,160
0x020406cc,3200,160,160
0x020406d4,3200,160,160
0x020406dc,3200,160,160
0x020406e2,3200,160,160
0x020406ea,3200,160,160
0x020406ee,3200,160,160
0x02040700,3200,160,160
0x0204071c,3200,160,160
0x02040720,3200,160,160
0x02040742,24,3,6
0x0204074e,24,3,6
0x0204075a,24,3,6
0x02040768,24,3,6
0x02040774,24,3,6
0x0204077e,24,3,6
0x02040784,24,3,6
0x02040788,24,3,6
0x020407b6,3224,163,166
0x020407bc,3224,163,166
0x020407c4,3224,163,166
0x020407cc,3224,163,166
0x020407d2,3224,163,166
0x020407da,3224,163,166
0x020407de,3224,163,166
0x020407ee,3224,163,166
0x0204081c,24,3,6
0x02040826,24,3,6
0x0204082c,24,3,6
0x02040830,24,3,6
0x0204094a,3200,160,160
0x02040a2c,84,4,16
0x02040a34,84,4,16
0x02040a44,4,0,4
0x02040ad8,84,4,16
0x02040ada,84,4,16
0x02040ca0,7,7,7
0x02040d6a,7,7,7
0x02040d7e,7,7,7
0x02040d8a,7,7,7
0x020411bc,3385,184,197
0x020411f0,1600,80,80
0x02041794,54730,3411,3506
0x020417c4,54730,3411,3506
0x02041888,17260,953,1169
0x02041974,51499,3187,4116
0x02041a70,5173,262,272
0x02041a8a,5173,262,272
0x02041a9a,5173,262,272
0x02041b24,5173,262,272
0x02041b40,494,41,41
0x02041b52,494,41,41
0x02041b5e,480,39,41
0x02041b64,480,39,41
0x02041b6e,480,39,41
0x02041b76,480,39,41
0x02041b7c,480,39,41
0x02042330,11914,726,740
0x0204234e,11914,726,740
0x020424d6,47656,2904,2960
0x020426d0,5173,262,272
0x020426e2,5173,262,272
0x020426f0,447,20,36
0x020426fe,447,20,36
0x02042712,447,20,36
0x02042724,447,20,36
0x02042732,447,20,36
0x02042746,271,10,27
0x02042758,271,10,27
0x02042766,271,10,27
0x0204279a,5173,262,272
0x020427b2,66,10,11
0x020427ba,66,10,11
0x020427c6,66,10,11
0x020427ee,66,10,11
0x020427fc,66,10,11
0x02042806,66,10,11
0x0204280e,66,10,11
0x02042816,66,10,11
0x0204281c,66,10,11
0x02042824,66,10,11
0x02042a48,7074,507,546
0x02042a66,7074,507,546
0x02042bc8,7074,507,546
0x02042ed8,185,7,6
0x02043510,59552,2987,2429
0x02043d18,133,9,14
0x02043fda,133,9,14
0x02044000,133,9,14
0x02044108,86570,4611,4629
0x020441ac,1676,117,128
0x020443d2,1608,113,121
0x02044584,52,2,1
0x02044590,52,2,1
0x02044620,16,2,6
0x02044640,76,4,8
0x0204464a,76,4,8
0x02044654,76,4,8
0x0204465c,76,4,8
0x02044668,76,4,8
0x02044670,76,4,8
0x02044674,76,4,8
0x02044686,76,4,8
0x02044694,4250,229,143
0x020446ce,63541,3205,2558
0x020446dc,59588,2993,2432
0x020446ea,59588,2993,2432
0x0204470e,3989,218,129
0x02044820,21277,1285,1935
0x02044998,59553,2987,2429
0x020449a6,59367,2980,2423
0x02044a6e,185,7,6
0x02044a8a,185,7,6
0x02044a90,86630,4613,4631
0x02044abc,86570,4611,4629
0x02044be8,25808,1291,1300
0x02044c16,25808,1291,1300
0x02044cc0,1812,123,138
0x02044cca,1812,123,138
0x02044ce8,1812,123,138
0x02044db0,83640,4181,4191
0x02044ddc,6,0,4
0x02044ed6,44826,2243,2248
0x02044eea,25808,1291,1300
0x02044efe,25808,1291,1300
0x02044fa0,208,11,20
0x0204501a,208,11,20
0x0204502a,208,11,20
0x02045324,76,4,8
0x02045360,76,4,8
0x020453e6,76,4,8
0x02045456,76,4,8
0x0204548e,76,4,8
0x020454ec,76,4,8
0x02047ce4,260,13,21
0x02047d04,260,13,21
0x02047ea2,24,3,6
0x02047eaa,24,3,6
0x02047ed4,104,7,18
0x02047f1a,104,7,18
0x02047fe8,80,4,12
0x02048348,104,7,18
0x0204839e,104,7,18
0x020483a8,104,7,18
0x020483b8,4,0,4
0x02048442,104,7,18
0x02048446,104,7,18
0x0204847c,104,7,18
0x0204848c,104,7,18
0x02048588,104,7,18
0x02048598,104,7,18
0x020485dc,104,7,18
0x02048604,104,7,18
0x02048614,104,7,18
0x020486a0,24,3,6
0x020486bc,104,7,18
0x020487f2,80,4,12
0x02048800,104,4,2
0x0204882a,104,4,2
0x020488c6,104,4,2
0x020489d8,52,2,1
0x02048a8e,52,2,1
0x02048af0,336,17,29
0x02048b3e,216,8,5
0x02048b6a,44,5,16
0x02048b98,336,17,29
0x02048bd4,336,17,29
0x02048bea,180,8,10
0x02048f4c,6,6,0
0x02048fb2,6,6,0
0x02048fc4,6,6,0
0x02048ff6,6,6,0
0x02048ffe,6,6,0
0x02049002,6,6,0
0x0204900e,6,6,0
0x02049016,6,6,0
0x0204901a,6,6,0
0x02049090,6,6,0
0x0204909a,6,6,0
0x020491a0,17,17,0
0x020491ee,350,350,0
0x0204965e,12396,12396,0
0x0204a0f8,1,1,0
0x0204a112,1,1,0
0x0204a158,6,6,0
0x02052420,1600,80,80
0x02054148,1,0,0
0x0205414a,1,0,0
0x02054150,9,6,9
0x02054152,9,6,9
0x02054158,124,33,61
0x0205415e,124,33,61
0x020541c0,301,24,28
0x020541c4,301,24,28
0x02054214,49,16,28
0x02054270,66,15,33
0x020542b8,4,2,4
0x02054312,4,2,4
0x02054364,305,52,114
0x0205438c,6525,383,399
0x020543aa,6525,383,399
0x020543b0,6239,321,324
0x020543ca,6239,321,324
0x02054458,9,1,1
0x0205445c,13,1,1
0x02054464,2,0,0
0x02054484,4118,169,122
0x02054490,518,19,19
0x02054494,518,19,19
0x020544a2,518,19,19
0x020544ac,517,19,19
0x020544b6,515,19,17
0x020544c0,515,19,17
0x020544ca,515,19,17
0x020544d4,514,19,17
0x020544de,513,19,17
0x020544e8,513,19,17
0x020544f2,511,18,16
0x020544fc,511,18,16
0x02054506,511,18,16
0x02054510,510,17,16
0x0205451a,510,17,16
0x02054524,494,15,16
0x0205452e,494,15,16
0x02054538,490,15,16
0x02054542,486,15,15
0x0205454c,466,14,15
0x02054558,1552,59,43
0x0205455a,1552,59,43
0x02054560,1604,59,39
0x02054562,1604,59,39
0x02054568,1604,59,39
0x0205456a,1604,59,39
0x02054578,1508,57,38
0x0205457a,1508,57,38
0x02054580,1383,56,36
0x02054582,1383,56,36
0x02054588,125,1,2
0x0205458a,125,1,2
0x02054590,1507,57,38
0x02054592,1507,57,38
0x02054598,1507,57,38
0x0205459a,1507,57,38
0x020545a0,1507,57,38
0x020545a2,1507,57,38
0x020545a8,1507,57,38
0x020545aa,1507,57,38
0x0205460c,343,39,55
0x02054618,352,40,59
0x0205464c,352,40,59
0x02054678,1603,59,39
0x0205467a,1603,59,39
0x02054680,33,2,2
0x02054684,33,2,2
0x02054686,33,2,2
0x02054698,33,2,2
0x0205469a,33,2,2
0x020546a0,33,2,2
0x020546a2,33,2,2
0x020546a8,1601,59,37
0x020546aa,1601,59,37
0x020546b0,1601,59,37
0x020546b2,1601,59,37
0x020546b8,1325,51,35
0x020546ba,1325,51,35
0x0205470c,258,9,2
0x0205470e,258,9,2
0x02054714,235,7,2
0x02054716,235,7,2
0x02054724,13,4,5
0x02054726,13,4,5
0x0205472c,2,0,0
0x02054744,1219,50,33
0x02054746,1219,50,33
0x0205474c,53,3,2
0x0205474e,53,3,2
0x02054754,211,6,6
0x02054758,17,1,0
0x0205475a,17,1,0
0x02054764,53,3,2
0x02054766,53,3,2
0x0205476c,644,40,52
0x0205476e,644,40,52
0x02054774,1168,87,101
0x02054776,1168,87,101
0x0205477c,245,23,30
0x0205477e,245,23,30
0x020547ac,234,7,2
0x020547ae,234,7,2
0x020547dc,66,3,13
0x020547de,66,3,13
0x020547e4,44,2,5
0x020547e6,44,2,5
0x020547ec,1190,62,40
0x020547ee,1190,62,40
0x020547f4,33,2,2
0x020547f6,33,2,2
0x020547fc,44,2,5
0x020547fe,44,2,5
0x02054808,408,23,28
0x0205480a,408,23,28
0x02054810,22,1,8
0x02054812,22,1,8
0x02054818,244,17,6
0x0205481a,244,17,6
0x02054820,8,0,0
0x02054822,8,0,0
0x02054828,8,0,0
0x0205482a,8,0,0
0x02054830,7,0,0
0x02054832,7,0,0
0x02054840,172,13,9
0x02054842,172,13,9
0x02054848,11,2,2
0x0205484a,11,2,2
0x02054850,4,0,3
0x02054852,4,0,3
0x02054858,1,0,1
0x0205485a,1,0,1
0x02054860,2,0,0
0x02054862,2,0,0
0x02054868,1203,67,43
0x0205486a,1203,67,43
0x02054894,591,55,80
0x02054896,591,55,80
0x0205489c,1014,55,40
0x0205489e,1014,55,40
0x020548a4,35,5,16
0x020548cc,16,1,0
0x020548d8,16,1,0
0x020548e6,16,1,0
0x020548f8,12,0,1
0x0205490a,12,0,1
0x0205491a,12,0,1
0x02054940,1,0,0
0x0205495a,1,0,0
0x02054966,1,0,0
0x02054978,37,0,4
0x0205499a,37,0,4
0x020549a0,37,0,4
0x020549a8,37,0,4
0x020549b0,37,0,4
0x020549b6,37,0,4
0x020549c4,37,0,4
0x020549d4,37,0,4
0x020549e4,3,0,1
0x020549fe,3,0,1
0x02054a0a,3,0,1
0x02054a34,1,0,1
0x02054a44,1,0,1
0x02054a4c,1,0,1
0x02054a5c,26,1,2
0x02054a7a,26,1,2
0x02054a8a,26,1,2
0x02054a9c,83,28,54
0x02054aa0,2587,171,160
0x02054ab0,2587,171,160
0x02054abc,1855,119,84
0x02054ace,732,52,76
0x02054adc,4,1,1
0x02054ae6,4,1,1
0x02054af2,4,0,0
0x02054b0a,4,0,0
0x02054b14,4,0,0
0x02054b24,4,1,1
0x02054b38,5,1,0
0x02054b4e,5,1,0
0x02054b5a,5,1,0
0x02054be4,23,0,1
0x02054c06,17,0,1
0x02054c0c,17,0,1
0x02054c12,17,0,1
0x02054c20,17,0,1
0x02054c30,17,0,1
0x02054c9c,2584,171,159
0x02054cb2,2584,171,159
0x02054cbe,1848,117,84
0x02054cca,994,78,59
0x02054cd2,994,78,59
0x02054ce0,736,54,75
0x02054ce8,736,54,75
0x02054cf8,35,5,8
0x02054d00,35,5,8
0x02054d06,35,5,8
0x02054d34,7,0,6
0x02054d42,7,0,6
0x02054d5c,7,0,6
0x02054d70,7,0,6
0x02054dbc,7,0,6
0x02054ed4,92,9,9
0x02054f38,352,40,59
0x02054f74,2148,84,60
0x02054f8c,19,3,10
0x02054f9a,19,3,10
0x02055064,352,40,59
0x0205509c,1055,120,177
0x020551e0,1,0,1
0x020551e2,1,0,1
0x020551e8,10,2,5
0x02055310,24,11,18
0x02055332,24,11,18
0x02055338,24,11,18
0x02055364,24,11,18
0x0205536a,24,11,18
0x02055372,24,11,18
0x02055380,12,2,6
0x02055386,12,2,6
0x0205538c,12,2,6
0x02055394,12,2,6
0x0205539a,12,2,6
0x020553a0,12,2,6
0x020553a6,12,2,6
0x020553ac,12,2,6
0x020553b2,24,11,18
0x020553b8,24,11,18
0x020553be,24,11,18
0x020553c4,24,11,18
0x020553d6,24,11,18
0x020553f2,12,9,12
0x020553fa,12,9,12
0x02055400,12,9,12
0x02055406,12,9,12
0x02055410,12,9,12
0x02055418,12,9,12
0x0205541e,12,9,12
0x02055424,12,9,12
0x0205542a,12,9,12
0x02055430,12,9,12
0x02055494,45,19,33
0x0205549a,45,19,33
0x020554a0,45,19,33
0x020554a6,45,19,33
0x020554aa,45,19,33
0x020554c4,45,19,33
0x020554ca,45,19,33
0x020554ce,45,19,33
0x020554e0,24,11,18
0x020554f2,24,11,18
0x020554f8,24,11,18
0x020554fe,24,11,18
0x02055502,24,11,18
0x0205550e,24,11,18
0x02055514,24,11,18
0x02055518,24,11,18
0x0205551c,24,11,18
0x02055522,24,11,18
0x02055526,24,11,18
0x02055574,158,32,69
0x02055578,5902,314,316
0x020555d8,24,11,18
0x020555dc,48,22,36
0x02055620,2,2,2
0x02055622,2,2,2
0x0205566c,24,11,18
0x0205566e,24,11,18
0x02055674,24,11,18
0x020557a4,24,11,18
0x02055848,24,11,18
0x0205589c,24,11,18
0x020558a0,3,0,1
0x020559a8,10,3,4
0x020559e0,10,3,4
0x02055a04,37,2,10
0x02055a38,37,2,10
0x02055a46,17,1,4
0x02055db0,6232,320,320
0x02055ddc,21,8,15
0x02055de4,21,8,15
0x02055dea,21,8,15
0x02055dee,21,8,15
0x02055e06,21,8,15
0x02055e84,73,6,0
0x02055e86,73,6,0
0x02055e8c,632,25,14
0x02055e8e,632,25,14
0x02055e94,71,6,0
0x02055e96,71,6,0
0x02055e9c,626,25,14
0x02055e9e,626,25,14
0x02055ea4,694,30,14
0x02055ea6,694,30,14
0x02055eac,1,0,0
0x02055eae,1,0,0
0x02055eb4,736,26,17
0x02055eb6,736,26,17
0x02055ebc,24,11,18
0x02055ec0,24,11,18
0x02055ecc,1,0,1
0x02055f10,306,12,2
0x02055f12,306,12,2
0x02055f18,6,0,0
0x02055f1a,6,0,0
0x02055f20,301,11,2
0x02055f24,3,0,1
0x02055f26,3,0,1
0x02055f2c,3,0,1
0x02055f2e,3,0,1
0x02055f34,3,0,1
0x02055f36,3,0,1
0x02055f6c,2,2,2
0x02055f6e,2,2,2
0x02055f7c,2,2,2
0x02055f7e,2,2,2
0x02055f9c,1184,48,31
0x02055fb2,552,17,3
0x02055fb8,1184,48,31
0x02055fc6,1184,48,31
0x02055fd2,1150,46,30
0x02055fda,1150,46,30
0x02055fe8,632,31,28
0x02056054,24,7,5
0x02056060,24,7,5
0x02056070,20,6,4
0x02056078,24,7,5
0x02056080,4,1,1
0x0205608c,173,20,39
0x02056098,173,20,39
0x020560a2,173,20,39
0x020560aa,173,20,39
0x020560ae,173,20,39
0x02056214,60,2,1
0x02056220,60,2,1
0x0205622a,60,2,1
0x02056234,2,0,1
0x02056258,2,0,1
0x02056262,2,0,1
0x0205626a,2,0,1
0x02056272,2,0,1
0x02056280,2,0,1
0x02056286,2,0,1
0x02056290,2,0,1
0x02056296,2,0,1
0x020562a8,39026,3452,6502
0x020562ac,39026,3452,6502
0x020562b0,39026,3452,6502
0x020562be,39026,3452,6502
0x020562c6,39026,3452,6502
0x020562e0,39026,3452,6502
0x020562e4,39026,3452,6502
0x020562ea,39026,3452,6502
0x020562ee,39026,3452,6502
0x020562fc,39026,3452,6502
0x02056304,39026,3452,6502
0x02056320,68,2,5
0x02056356,68,2,5
0x0205635e,68,2,5
0x02056366,68,2,5
0x0205636e,68,2,5
0x0205637e,68,2,5
0x02056386,68,2,5
0x02056394,68,2,5
0x0205639c,68,2,5
0x020563a6,68,2,5
0x020563b0,68,2,5
0x020563b8,68,2,5
0x020563c2,68,2,5
0x020563cc,68,2,5
0x020563d4,68,2,5
0x020563e4,68,2,5
0x020563ee,68,2,5
0x020563f6,68,2,5
0x020563fe,68,2,5
0x02056438,3009,136,140
0x02056450,3009,136,140
0x02056498,388645,20244,20710
0x020564f4,36,11,25
0x02056500,36,11,25
0x0205650c,36,11,25
0x02056512,36,11,25
0x0205651e,36,11,25
0x02056528,4,0,1
0x0205652a,4,0,1
0x02056598,58,3,11
0x0205659a,58,3,11
0x020565c4,3,0,0
0x020565c8,3,0,0
0x0205674c,5,0,0
0x02056752,5,0,0
0x02056794,203,16,20
0x0205679a,203,16,20
0x020567f0,94,17,29
0x020567fe,94,17,29
0x020568ac,62,12,17
0x020568b6,62,12,17
0x02056990,4,0,1
0x02056996,4,0,1
0x0205699e,4,0,1
0x020569bc,6496,381,399
0x020569c8,6496,381,399
0x02056a42,480,32,0
0x02056a56,97542,5692,5958
0x02056a5c,97542,5692,5958
0x02056ad2,113141,6802,7252
0x02056b1a,106867,6425,6878
0x02056c56,5794,345,374
0x02056c88,20,1,0
0x02056c8e,20,1,0
0x02056d30,20,8,14
0x02056d34,20,8,14
0x02056ddc,655,29,14
0x02056dde,655,29,14
0x02056df2,655,29,14
0x02056e02,655,29,14
0x02056e14,655,29,14
0x02056e20,655,29,14
0x02056e2c,34,5,8
0x02056e34,34,5,8
0x02056e42,34,5,8
0x02056e4e,1,0,1
0x02056f18,25,11,19
0x02056f1c,25,11,19
0x02056f50,3,0,3
0x02056f64,4,0,0
0x02056f6e,4,0,0
0x020570d4,2,0,1
0x020570e2,2,0,1
0x020570e8,2,0,1
0x020570f0,736,26,17
0x020570f6,736,26,17
0x02057120,736,26,17
0x0205715c,2156,152,158
0x0205716a,2156,152,158
0x02057180,2156,152,158
0x0205718c,2156,152,158
0x02057198,2156,152,158
0x020571ae,41,0,0
0x020571d6,2115,152,158
0x020571e0,2123,147,150
0x020571f6,1182,60,39
0x0205724e,33,5,8
0x02057254,33,5,8
0x02057262,33,5,8
0x020572b6,1182,60,39
0x020572cc,17451,851,876
0x020572e6,14251,691,716
0x020572f4,8001,365,361
0x02057348,3036,160,160
0x02057378,3036,160,160
0x0205741e,3036,160,160
0x0205753a,3036,160,160
0x02057558,3036,160,160
0x02057566,3036,160,160
0x02057764,99,11,18
0x02057768,99,11,18
0x02057778,99,11,18
0x0205777c,99,11,18
0x0205778e,99,11,18
0x020577f4,3036,160,160
0x02057806,3036,160,160
0x02057818,3036,160,160
0x0205782a,3036,160,160
0x0205783c,3037,160,160
0x0205787c,3036,160,160
0x0205788c,3036,160,160
0x02057914,99,11,18
0x02057924,3036,160,160
0x0205799c,2937,149,142
0x02057daa,211,9,11
0x02058524,3036,160,160
0x0205861a,48904,2560,2560
0x0205862c,43225,2269,2284
0x0205863e,30235,1639,1657
0x0205865e,5679,291,276
0x0205866c,35914,1930,1933
0x020587b8,8,2,3
0x020587c0,8,2,3
0x020587ce,8,2,3
0x0205885e,6072,320,320
0x02058892,4636,240,240
0x020588cc,45704,2400,2400
0x02058cae,3036,160,160
0x02058cf6,57,5,6
0x02058cfe,57,5,6
0x02058d10,57,5,6
0x02058d20,57,5,6
0x02058d38,57,5,6
0x02058d3e,57,5,6
0x02058d44,3036,160,160
0x020590c0,2964,134,139
0x020590c4,2964,134,139
0x020590ca,2964,134,139
0x020590dc,2964,134,139
0x020590e8,2964,134,139
0x020590ee,2964,134,139
0x020590f4,2964,134,139
0x02059106,2964,134,139
0x0205910c,2964,134,139
0x0205911a,2964,134,139
0x0205912a,30,4,6
0x02059134,30,4,6
0x02059140,15,1,3
0x02059156,2964,134,139
0x0205917a,2934,130,133
0x0205918a,23,4,6
0x02059194,23,4,6
0x020591a0,8,3,3
0x020591b0,15,3,3
0x020591e2,15,1,3
0x02059204,1627,77,97
0x0205920c,1627,77,97
0x02059222,1627,77,97
0x02059242,1627,77,97
0x0205924a,1627,77,97
0x0205925a,1627,77,97
0x02059266,146,12,8
0x0205926e,146,12,8
0x0205927a,1627,77,97
0x0205929e,1481,65,89
0x020592aa,14,0,0
0x020592b2,14,0,0
0x020592d8,871,52,38
0x020592dc,871,52,38
0x020592f2,871,52,38
0x0205932a,9,2,0
0x02059360,9,2,0
0x0205938c,7,0,0
0x02059390,7,0,0
0x020593a0,5,0,0
