  4194304 rows  14s
  8388608 rows  29s
  12582912 rows  43s
  16777216 rows  57s
  20971520 rows  71s
  25165824 rows  86s
  29360128 rows  100s
  33554432 rows  114s
  37748736 rows  128s
  41943040 rows  143s
  46137344 rows  157s
  50331648 rows  171s
rows=54400815  symbols=1396  tracked_pcs=7677  184s
