frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,gNdsHardwareRendererStatus,gNdsHardwareRendererPolyRamCount,gNdsParticleBatchOpens,gNdsParticleScaleEscalations,gNdsR2LightVectorWrites,gNdsParticleCameraLoads
475,1117568,307200,173824,4096,4928,1024,419200,82752,127360,108032,1009792,4416,960,413696,72256,1408,1920,254720,76096,704,1008768,100663296,493,184,60,950,215
476,1117824,305600,172864,4096,4800,1024,466944,81472,82560,62016,1057152,4288,1024,461376,72128,1408,2048,301632,76480,640,1056128,100663296,493,184,60,952,215
477,1119168,303360,174848,4160,3136,1024,328640,82368,219200,199808,916672,4416,1152,323072,71680,1600,2048,162944,76352,576,915648,100663296,494,184,60,954,215
478,1116480,303616,174336,4160,1600,960,334016,81856,217408,197440,920704,4224,960,328576,74688,1472,2048,167424,77888,576,919744,100663296,494,184,60,956,215
479,1118144,303872,174272,4160,1600,1024,339392,83136,209600,189952,927872,4160,960,333824,75904,1280,1984,174144,76800,576,926848,100663296,494,184,60,958,215
480,1117824,304192,174656,4224,1600,960,351744,82304,209600,189952,927872,4160,896,346240,74240,1408,1920,181952,81024,512,926912,100663296,488,184,60,960,215
481,1117504,303936,174656,4224,1536,1024,380864,82560,170432,150656,967488,4224,1024,375232,117568,1344,1984,214464,77504,704,966464,100663296,488,184,60,962,215
482,1118144,303808,173632,4288,1536,1024,512704,82624,36032,16064,1101632,4544,896,507328,118528,1280,2112,344000,79488,640,1100608,100663296,472,184,60,964,215
483,1117696,304320,175296,4160,1536,960,377216,82176,36032,16064,1101632,4544,896,371904,115264,1344,2048,211328,77184,576,1100672,100663296,464,184,60,966,215
484,1117824,303360,174464,4224,92672,415104,388352,81536,218816,198592,1479360,4352,896,382656,111424,1344,2240,221568,77376,640,1064256,100663296,472,184,60,968,215
485,1677952,303296,174016,4160,2112,1024,445184,96448,87744,68160,1049152,4480,896,439808,35264,1472,1984,151616,203584,704,1048128,100663296,477,185,60,970,216
486,1117312,304576,176000,4224,4992,1024,293248,95616,238080,218368,899776,4352,832,288000,36736,1408,1984,144512,57344,640,898752,100663296,477,186,60,972,217
487,1118144,306048,174912,4224,4992,1088,297792,97408,232832,212992,904448,4544,896,292352,36224,1536,1984,149184,56896,576,903360,100663296,487,187,60,974,218
488,1117440,304960,174144,4224,3392,1024,502080,96128,29504,9728,1107904,4608,896,496576,118464,1344,1984,353152,57216,768,1106880,100663296,477,188,60,976,219
489,1117632,305856,175424,4224,1600,1024,448640,96640,86848,67392,1050432,4544,960,443072,118144,1280,2112,298176,58496,576,1049408,100663296,474,189,60,978,220
490,1117824,303424,175424,4224,1664,1024,367488,96448,166976,147264,970624,4672,960,362240,119296,1408,1984,218496,57920,640,969600,100663296,465,190,60,980,221
491,1117888,305664,174336,4288,1536,960,366592,96832,166016,146304,971392,4608,960,361152,118080,1408,2112,217664,58048,640,970432,100663296,462,191,60,982,222
492,1117696,306240,175296,4224,1664,1088,368640,96640,164096,144768,972992,4672,832,363264,118272,1280,1984,220096,56960,640,971904,100663296,459,192,60,984,223
493,1117760,305920,175552,4160,1600,1024,368640,81472,181824,161856,956032,4352,1024,363136,116416,1408,2112,218752,58240,512,955008,100663296,462,192,60,986,223
494,1117888,305792,173376,4160,1472,1024,369408,81984,179968,160448,957248,4416,1024,363968,118464,1344,2112,222848,57984,512,956224,100663296,461,192,60,988,223
