frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,gNdsHardwareRendererStatus,gNdsHardwareRendererPolyRamCount,gNdsParticleBatchOpens,gNdsParticleScaleEscalations,gNdsR2LightVectorWrites,gNdsParticleCameraLoads
438,1117440,332096,177600,4416,2816,1024,519872,96512,541440,521216,1156928,4288,1024,514432,121472,1280,1856,227968,201152,768,1155904,100703232,439,148,42,876,148
439,1678144,333696,178304,4480,4992,1024,306752,96192,194880,174912,942656,4608,1024,301440,37888,1216,1856,140608,75136,768,941632,100704000,432,149,42,878,149
440,1117568,331328,178112,4288,2816,1088,656512,130240,373504,353600,1324480,7488,1088,651072,38208,1408,1920,437056,86656,704,1323392,100696576,432,151,44,880,152
441,1678080,331520,178112,4288,2816,417600,344640,128128,269312,249408,1428416,7296,1152,339200,38720,1280,1856,138112,75136,704,1010816,100697344,433,153,46,882,155
442,1677824,329344,181824,4160,2816,1024,353856,120832,124608,104832,1013120,7040,960,348352,46784,1152,1920,147136,75008,704,1012096,100697344,433,155,48,884,158
443,1117952,331904,178496,4416,2816,1088,352896,121536,119680,100032,1017600,7296,1024,347520,46592,1408,2048,148160,74176,640,1016512,100698112,441,157,50,886,161
444,1117632,331712,183680,4224,130752,1088,353344,117056,559296,539392,1138816,6912,1152,347840,48512,1408,1920,148352,74304,640,1137728,100699648,449,158,51,888,163
445,1678208,333248,179200,4224,2816,1024,345088,114688,136128,116608,1001216,6848,1024,339584,43584,1216,1856,142528,73664,704,1000192,100700416,457,159,52,890,165
446,1117824,333376,180416,4288,2944,1024,304192,107072,184768,164992,952960,6848,1088,298496,960,1408,1920,96896,76032,768,951936,100701184,449,160,53,892,167
447,1117952,334528,179008,4416,2816,1152,468288,107968,21248,1472,1116480,6912,1024,462976,2368,1472,1984,263424,75520,768,1115328,100701952,462,161,54,894,169
448,1117952,332736,179328,4416,2880,1088,353088,106496,139264,119680,997952,6912,960,347456,49536,1344,1984,146496,77760,640,996864,100701952,462,162,55,896,171
449,1117632,332288,178176,4352,2880,1088,585152,119168,453312,433472,1244800,6720,1024,579584,23168,1280,1856,355200,98368,768,1243712,100703488,445,163,56,898,173
450,1678272,330432,181888,4352,2880,1024,305472,119808,175296,155584,961920,7040,1088,299968,960,1216,1920,91648,83776,640,960896,100696064,450,164,57,900,175
451,1117504,329856,178816,4352,2752,1024,306368,121152,174848,154944,963072,6784,1216,300544,960,1280,1728,93824,81344,768,962048,100696064,450,165,58,902,177
452,1118016,329088,178304,4480,2816,1088,394880,119552,84288,64768,1052736,6656,960,389760,1664,1216,1856,174016,89344,704,1051648,100696832,448,166,59,904,179
