region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
3,600409,2241972,3.734,0,296148
2,620956,2240592,3.608,0,432913
1,617643,2240544,3.628,0,444543
4,648383,2240330,3.455,0,230615
5,595912,2239630,3.758,0,479549
0,6,36,6.000,1,23
